

==========Samples: (1000, 500, 500) ===========
epoch 76, minibatch 100/100, validation error 13.600000 %
epoch 77, minibatch 100/100, validation error 13.600000 %
epoch 78, minibatch 100/100, validation error 13.600000 %
epoch 79, minibatch 100/100, validation error 13.600000 %
epoch 80, minibatch 100/100, validation error 13.600000 %
epoch 81, minibatch 100/100, validation error 13.600000 %
epoch 82, minibatch 100/100, validation error 13.600000 %
epoch 83, minibatch 100/100, validation error 13.600000 %
epoch 84, minibatch 100/100, validation error 13.600000 %
epoch 85, minibatch 100/100, validation error 13.600000 %
epoch 86, minibatch 100/100, validation error 13.600000 %
epoch 87, minibatch 100/100, validation error 13.600000 %
epoch 88, minibatch 100/100, validation error 13.600000 %
epoch 89, minibatch 100/100, validation error 13.600000 %
epoch 90, minibatch 100/100, validation error 13.600000 %
epoch 91, minibatch 100/100, validation error 13.600000 %
epoch 92, minibatch 100/100, validation error 13.600000 %
epoch 93, minibatch 100/100, validation error 13.800000 %
epoch 94, minibatch 100/100, validation error 13.800000 %
epoch 95, minibatch 100/100, validation error 13.800000 %
epoch 96, minibatch 100/100, validation error 13.800000 %
epoch 97, minibatch 100/100, validation error 13.800000 %
epoch 98, minibatch 100/100, validation error 13.600000 %
epoch 99, minibatch 100/100, validation error 13.600000 %
epoch 100, minibatch 100/100, validation error 13.800000 %
epoch 101, minibatch 100/100, validation error 13.800000 %
epoch 102, minibatch 100/100, validation error 13.800000 %
epoch 103, minibatch 100/100, validation error 13.800000 %
epoch 104, minibatch 100/100, validation error 13.800000 %
epoch 105, minibatch 100/100, validation error 13.800000 %
epoch 106, minibatch 100/100, validation error 13.800000 %
epoch 107, minibatch 100/100, validation error 13.800000 %
epoch 108, minibatch 100/100, validation error 13.800000 %
epoch 109, minibatch 100/100, validation error 13.800000 %
epoch 110, minibatch 100/100, validation error 13.800000 %
epoch 111, minibatch 100/100, validation error 13.800000 %
epoch 112, minibatch 100/100, validation error 13.600000 %
epoch 113, minibatch 100/100, validation error 13.600000 %
epoch 114, minibatch 100/100, validation error 13.600000 %
epoch 115, minibatch 100/100, validation error 13.600000 %
epoch 116, minibatch 100/100, validation error 13.600000 %
epoch 117, minibatch 100/100, validation error 13.600000 %
epoch 118, minibatch 100/100, validation error 13.600000 %
epoch 119, minibatch 100/100, validation error 13.600000 %
epoch 120, minibatch 100/100, validation error 13.600000 %
epoch 121, minibatch 100/100, validation error 13.600000 %
epoch 122, minibatch 100/100, validation error 13.600000 %
epoch 123, minibatch 100/100, validation error 13.600000 %
epoch 124, minibatch 100/100, validation error 13.600000 %
epoch 125, minibatch 100/100, validation error 13.600000 %
epoch 126, minibatch 100/100, validation error 13.600000 %
epoch 127, minibatch 100/100, validation error 13.600000 %
epoch 128, minibatch 100/100, validation error 13.600000 %
epoch 129, minibatch 100/100, validation error 13.600000 %
epoch 130, minibatch 100/100, validation error 13.600000 %
epoch 131, minibatch 100/100, validation error 13.600000 %
epoch 132, minibatch 100/100, validation error 13.600000 %
epoch 133, minibatch 100/100, validation error 13.600000 %
epoch 134, minibatch 100/100, validation error 13.600000 %
epoch 135, minibatch 100/100, validation error 13.600000 %
Optimization complete with best validation score of 13.400000 %, obtained at iteration 6800, with test performance 11.400000 %
The fine tuning code for file dbn_loop.pyc ran for 0.09m


==========Samples: (3000, 500, 500) ===========

... building the model
... getting the pretraining functions
... pre-training the model
Pre-training layer 0, epoch 0, cost -234.598684947
Pre-training layer 0, epoch 0, representative training free energy -87.4305398865
Pre-training layer 0, epoch 0, validation free energy -86.4155418587
Pre-training layer 0, epoch 1, cost -163.176562373
Pre-training layer 0, epoch 2, cost -147.36389623
Pre-training layer 0, epoch 3, cost -139.151057638
Pre-training layer 0, epoch 4, cost -133.688055852
Pre-training layer 0, epoch 5, cost -129.760081431
Pre-training layer 0, epoch 5, representative training free energy -114.473897697
Pre-training layer 0, epoch 5, validation free energy -110.431179405
Pre-training layer 0, epoch 6, cost -126.682176895
Pre-training layer 0, epoch 7, cost -124.25043368
Pre-training layer 0, epoch 8, cost -122.128001684
Pre-training layer 0, epoch 9, cost -120.433015823
Pre-training layer 0, epoch 10, cost -118.726994476
Pre-training layer 0, epoch 10, representative training free energy -134.694138573
Pre-training layer 0, epoch 10, validation free energy -129.162931076
Pre-training layer 0, epoch 11, cost -117.219741007
Pre-training layer 0, epoch 12, cost -115.941883163
Pre-training layer 0, epoch 13, cost -114.893022563
Pre-training layer 0, epoch 14, cost -113.862513606
Pre-training layer 0, epoch 15, cost -112.754269257
Pre-training layer 0, epoch 15, representative training free energy -146.206412277
Pre-training layer 0, epoch 15, validation free energy -140.111797668
Pre-training layer 0, epoch 16, cost -111.980808919
Pre-training layer 0, epoch 17, cost -111.079380061
Pre-training layer 0, epoch 18, cost -110.312868144
Pre-training layer 0, epoch 19, cost -109.660274887
Pre-training layer 0, epoch 20, cost -108.959862391
Pre-training layer 0, epoch 20, representative training free energy -155.114989456
Pre-training layer 0, epoch 20, validation free energy -148.627554268
Pre-training layer 0, epoch 21, cost -108.299962489
Pre-training layer 0, epoch 22, cost -107.753592453
Pre-training layer 0, epoch 23, cost -107.11364268
Pre-training layer 0, epoch 24, cost -106.524768829
Pre-training layer 0, epoch 25, cost -106.027222265
Pre-training layer 0, epoch 25, representative training free energy -163.307048721
Pre-training layer 0, epoch 25, validation free energy -156.270316101
Pre-training layer 0, epoch 26, cost -105.689329834
Pre-training layer 0, epoch 27, cost -105.202662913
Pre-training layer 0, epoch 28, cost -104.714910177
Pre-training layer 0, epoch 29, cost -104.147764079
Pre-training layer 0, epoch 30, cost -103.856960627
Pre-training layer 0, epoch 30, representative training free energy -170.343780853
Pre-training layer 0, epoch 30, validation free energy -162.819924164
Pre-training layer 0, epoch 31, cost -103.570794449
Pre-training layer 0, epoch 32, cost -103.022722702
Pre-training layer 0, epoch 33, cost -102.834151688
Pre-training layer 0, epoch 34, cost -102.487711054
Pre-training layer 0, epoch 35, cost -102.082834396
Pre-training layer 0, epoch 35, representative training free energy -175.231698959
Pre-training layer 0, epoch 35, validation free energy -167.311896057
Pre-training layer 0, epoch 36, cost -101.843991394
Pre-training layer 0, epoch 37, cost -101.372322235
Pre-training layer 0, epoch 38, cost -101.252769623
Pre-training layer 0, epoch 39, cost -100.875366745
Pre-training layer 0, epoch 40, cost -100.607380549
Pre-training layer 0, epoch 40, representative training free energy -180.622331467
Pre-training layer 0, epoch 40, validation free energy -172.704227219
Pre-training layer 0, epoch 41, cost -100.381320572
Pre-training layer 0, epoch 42, cost -100.162526627
Pre-training layer 0, epoch 43, cost -99.8825779724
Pre-training layer 0, epoch 44, cost -99.528120753
Pre-training layer 0, epoch 45, cost -99.3730245717
Pre-training layer 0, epoch 45, representative training free energy -185.79674472
Pre-training layer 0, epoch 45, validation free energy -177.583868591
Pre-training layer 0, epoch 46, cost -99.1305136108
Pre-training layer 0, epoch 47, cost -98.9373685201
Pre-training layer 0, epoch 48, cost -98.6561707052
Pre-training layer 0, epoch 49, cost -98.4718806712
Pre-training layer 0, epoch 50, cost -98.3202238719
Pre-training layer 0, epoch 50, representative training free energy -190.039754456
Pre-training layer 0, epoch 50, validation free energy -181.399011353
Pre-training layer 0, epoch 51, cost -98.1083540344
Pre-training layer 0, epoch 52, cost -97.9056124878
Pre-training layer 0, epoch 53, cost -97.5989274851
Pre-training layer 0, epoch 54, cost -97.4513510386
Pre-training layer 0, epoch 55, cost -97.2405179087
Pre-training layer 0, epoch 55, representative training free energy -192.734761551
Pre-training layer 0, epoch 55, validation free energy -183.951086655
Pre-training layer 0, epoch 56, cost -97.0785986582
Pre-training layer 0, epoch 57, cost -96.937290802
Pre-training layer 0, epoch 58, cost -96.8010130819
Pre-training layer 0, epoch 59, cost -96.660275472
Pre-training layer 0, epoch 60, cost -96.3616036479
Pre-training layer 0, epoch 60, representative training free energy -197.836311157
Pre-training layer 0, epoch 60, validation free energy -189.128328247
Pre-training layer 0, epoch 61, cost -96.2250336965
Pre-training layer 0, epoch 62, cost -96.1492792002
Pre-training layer 0, epoch 63, cost -95.9499645742
Pre-training layer 0, epoch 64, cost -95.7646521759
Pre-training layer 0, epoch 65, cost -95.6032403564
Pre-training layer 0, epoch 65, representative training free energy -200.757016891
Pre-training layer 0, epoch 65, validation free energy -192.028339874
Pre-training layer 0, epoch 66, cost -95.4546188609
Pre-training layer 0, epoch 67, cost -95.3136079661
Pre-training layer 0, epoch 68, cost -95.2309815979
Pre-training layer 0, epoch 69, cost -94.9847967275
Pre-training layer 0, epoch 70, cost -94.8161203003
Pre-training layer 0, epoch 70, representative training free energy -203.776366074
Pre-training layer 0, epoch 70, validation free energy -194.660074326
Pre-training layer 0, epoch 71, cost -94.6742609406
Pre-training layer 0, epoch 72, cost -94.6458028412
Pre-training layer 0, epoch 73, cost -94.368885142
Pre-training layer 0, epoch 74, cost -94.2457909648
Pre-training layer 0, epoch 75, cost -94.1250429281
Pre-training layer 0, epoch 75, representative training free energy -209.599901367
Pre-training layer 0, epoch 75, validation free energy -200.45088266
Pre-training layer 0, epoch 76, cost -94.0937613678
Pre-training layer 0, epoch 77, cost -93.908515981
Pre-training layer 0, epoch 78, cost -93.852334137
Pre-training layer 0, epoch 79, cost -93.7182277934
Pre-training layer 0, epoch 80, cost -93.653830719
Pre-training layer 0, epoch 80, representative training free energy -211.231811859
Pre-training layer 0, epoch 80, validation free energy -202.034253372
Pre-training layer 0, epoch 81, cost -93.481427536
Pre-training layer 0, epoch 82, cost -93.2690671794
Pre-training layer 0, epoch 83, cost -93.0105093384
Pre-training layer 0, epoch 84, cost -93.0400174205
Pre-training layer 0, epoch 85, cost -93.0013320669
Pre-training layer 0, epoch 85, representative training free energy -212.945759338
Pre-training layer 0, epoch 85, validation free energy -203.300601334
Pre-training layer 0, epoch 86, cost -92.9514187368
Pre-training layer 0, epoch 87, cost -92.8167696381
Pre-training layer 0, epoch 88, cost -92.7283539836
Pre-training layer 0, epoch 89, cost -92.5363783518
Pre-training layer 0, epoch 90, cost -92.5996459198
Pre-training layer 0, epoch 90, representative training free energy -215.958372986
Pre-training layer 0, epoch 90, validation free energy -206.271088303
Pre-training layer 0, epoch 91, cost -92.2829617564
Pre-training layer 0, epoch 92, cost -92.2387651825
Pre-training layer 0, epoch 93, cost -92.1695119476
Pre-training layer 0, epoch 94, cost -92.075369784
Pre-training layer 0, epoch 95, cost -91.8710011292
Pre-training layer 0, epoch 95, representative training free energy -219.789021484
Pre-training layer 0, epoch 95, validation free energy -210.11158046
Pre-training layer 0, epoch 96, cost -91.7786660004
Pre-training layer 0, epoch 97, cost -91.7145613861
Pre-training layer 0, epoch 98, cost -91.6301319631
Pre-training layer 0, epoch 99, cost -91.5240077464
Pre-training layer 1, epoch 0, cost -54.117220637
Pre-training layer 1, epoch 0, representative training free energy -3325.51109473
Pre-training layer 1, epoch 0, validation free energy -3281.39428003
Pre-training layer 1, epoch 1, cost -44.993028628
Pre-training layer 1, epoch 2, cost -41.0425471369
Pre-training layer 1, epoch 3, cost -38.694177316
Pre-training layer 1, epoch 4, cost -36.9846607145
Pre-training layer 1, epoch 5, cost -35.9324550629
Pre-training layer 1, epoch 5, representative training free energy -4704.04216943
Pre-training layer 1, epoch 5, validation free energy -4628.58414551
Pre-training layer 1, epoch 6, cost -34.9116466014
Pre-training layer 1, epoch 7, cost -34.2147064018
Pre-training layer 1, epoch 8, cost -33.6077235158
Pre-training layer 1, epoch 9, cost -33.0420777702
Pre-training layer 1, epoch 10, cost -32.6105729485
Pre-training layer 1, epoch 10, representative training free energy -5187.76059546
Pre-training layer 1, epoch 10, validation free energy -5097.75038525
Pre-training layer 1, epoch 11, cost -32.151282533
Pre-training layer 1, epoch 12, cost -31.8688267899
Pre-training layer 1, epoch 13, cost -31.4612655322
Pre-training layer 1, epoch 14, cost -31.1991690572
Pre-training layer 1, epoch 15, cost -30.8140533574
Pre-training layer 1, epoch 15, representative training free energy -5513.21137988
Pre-training layer 1, epoch 15, validation free energy -5412.59852393
Pre-training layer 1, epoch 16, cost -30.5286112912
Pre-training layer 1, epoch 17, cost -30.2079443296
Pre-training layer 1, epoch 18, cost -30.0787048149
Pre-training layer 1, epoch 19, cost -29.8567316373
Pre-training layer 1, epoch 20, cost -29.6072824415
Pre-training layer 1, epoch 20, representative training free energy -5723.84980322
Pre-training layer 1, epoch 20, validation free energy -5614.24451123
Pre-training layer 1, epoch 21, cost -29.4621000544
Pre-training layer 1, epoch 22, cost -29.2259500186
Pre-training layer 1, epoch 23, cost -29.1154923884
Pre-training layer 1, epoch 24, cost -28.9514191119
Pre-training layer 1, epoch 25, cost -28.7756823031
Pre-training layer 1, epoch 25, representative training free energy -5947.69861133
Pre-training layer 1, epoch 25, validation free energy -5830.96634766
Pre-training layer 1, epoch 26, cost -28.7684816424
Pre-training layer 1, epoch 27, cost -28.5977636655
Pre-training layer 1, epoch 28, cost -28.3617382113
Pre-training layer 1, epoch 29, cost -28.2483368874
Pre-training layer 1, epoch 30, cost -28.2271594493
Pre-training layer 1, epoch 30, representative training free energy -6097.03799048
Pre-training layer 1, epoch 30, validation free energy -5975.60733594
Pre-training layer 1, epoch 31, cost -28.1135676066
Pre-training layer 1, epoch 32, cost -27.9487061755
Pre-training layer 1, epoch 33, cost -27.8830499776
Pre-training layer 1, epoch 34, cost -27.6802105586
Pre-training layer 1, epoch 35, cost -27.7367181778
Pre-training layer 1, epoch 35, representative training free energy -6247.69268311
Pre-training layer 1, epoch 35, validation free energy -6119.81628003
Pre-training layer 1, epoch 36, cost -27.5583918508
Pre-training layer 1, epoch 37, cost -27.525794042
Pre-training layer 1, epoch 38, cost -27.3912589137
Pre-training layer 1, epoch 39, cost -27.3413704173
Pre-training layer 1, epoch 40, cost -27.2894471614
Pre-training layer 1, epoch 40, representative training free energy -6389.10264893
Pre-training layer 1, epoch 40, validation free energy -6256.67609619
Pre-training layer 1, epoch 41, cost -27.1829003906
Pre-training layer 1, epoch 42, cost -27.0598672167
Pre-training layer 1, epoch 43, cost -27.0397504552
Pre-training layer 1, epoch 44, cost -27.0110261854
Pre-training layer 1, epoch 45, cost -26.9370277468
Pre-training layer 1, epoch 45, representative training free energy -6507.58250391
Pre-training layer 1, epoch 45, validation free energy -6371.43423022
Pre-training layer 1, epoch 46, cost -26.8223397954
Pre-training layer 1, epoch 47, cost -26.7657149188
Pre-training layer 1, epoch 48, cost -26.6748721822
Pre-training layer 1, epoch 49, cost -26.647844607
Pre-training layer 1, epoch 50, cost -26.6297604497
Pre-training layer 1, epoch 50, representative training free energy -6614.1774458
Pre-training layer 1, epoch 50, validation free energy -6475.02136621
Pre-training layer 1, epoch 51, cost -26.5534720039
Pre-training layer 1, epoch 52, cost -26.5703579903
Pre-training layer 1, epoch 53, cost -26.4448991521
Pre-training layer 1, epoch 54, cost -26.3717620468
Pre-training layer 1, epoch 55, cost -26.3146400515
Pre-training layer 1, epoch 55, representative training free energy -6718.24699414
Pre-training layer 1, epoch 55, validation free energy -6573.05787109
Pre-training layer 1, epoch 56, cost -26.3582845879
Pre-training layer 1, epoch 57, cost -26.2311472702
Pre-training layer 1, epoch 58, cost -26.1789937655
Pre-training layer 1, epoch 59, cost -26.157736969
Pre-training layer 1, epoch 60, cost -26.0476786677
Pre-training layer 1, epoch 60, representative training free energy -6832.6220481
Pre-training layer 1, epoch 60, validation free energy -6684.7074397
Pre-training layer 1, epoch 61, cost -26.0421570651
Pre-training layer 1, epoch 62, cost -25.9809361966
Pre-training layer 1, epoch 63, cost -25.9628493881
Pre-training layer 1, epoch 64, cost -25.9158721161
Pre-training layer 1, epoch 65, cost -25.8395451355
Pre-training layer 1, epoch 65, representative training free energy -6931.28535254
Pre-training layer 1, epoch 65, validation free energy -6777.04501978
Pre-training layer 1, epoch 66, cost -25.8495554161
Pre-training layer 1, epoch 67, cost -25.7603014247
Pre-training layer 1, epoch 68, cost -25.735904026
Pre-training layer 1, epoch 69, cost -25.7068958982
Pre-training layer 1, epoch 70, cost -25.6350062943
Pre-training layer 1, epoch 70, representative training free energy -7005.65552441
Pre-training layer 1, epoch 70, validation free energy -6853.81969336
Pre-training layer 1, epoch 71, cost -25.6346784147
Pre-training layer 1, epoch 72, cost -25.6068146261
Pre-training layer 1, epoch 73, cost -25.5329342842
Pre-training layer 1, epoch 74, cost -25.5780460803
Pre-training layer 1, epoch 75, cost -25.5550687599
Pre-training layer 1, epoch 75, representative training free energy -7091.16830811
Pre-training layer 1, epoch 75, validation free energy -6931.25768823
Pre-training layer 1, epoch 76, cost -25.4901880709
Pre-training layer 1, epoch 77, cost -25.4479329427
Pre-training layer 1, epoch 78, cost -25.4240779877
Pre-training layer 1, epoch 79, cost -25.4476241557
Pre-training layer 1, epoch 80, cost -25.3113461622
Pre-training layer 1, epoch 80, representative training free energy -7177.48545386
Pre-training layer 1, epoch 80, validation free energy -7015.34887988
Pre-training layer 1, epoch 81, cost -25.3075566228
Pre-training layer 1, epoch 82, cost -25.2066895231
Pre-training layer 1, epoch 83, cost -25.3211425718
Pre-training layer 1, epoch 84, cost -25.1915221024
Pre-training layer 1, epoch 85, cost -25.1919304085
Pre-training layer 1, epoch 85, representative training free energy -7270.37054663
Pre-training layer 1, epoch 85, validation free energy -7109.22788794
Pre-training layer 1, epoch 86, cost -25.1783382161
Pre-training layer 1, epoch 87, cost -25.0857723681
Pre-training layer 1, epoch 88, cost -25.044599088
Pre-training layer 1, epoch 89, cost -25.0882801628
Pre-training layer 1, epoch 90, cost -25.0736849276
Pre-training layer 1, epoch 90, representative training free energy -7326.54152734
Pre-training layer 1, epoch 90, validation free energy -7162.09071973
Pre-training layer 1, epoch 91, cost -25.0437394206
Pre-training layer 1, epoch 92, cost -25.0470188395
Pre-training layer 1, epoch 93, cost -24.936809756
Pre-training layer 1, epoch 94, cost -24.9216047859
Pre-training layer 1, epoch 95, cost -24.9828807004
Pre-training layer 1, epoch 95, representative training free energy -7398.58462524
Pre-training layer 1, epoch 95, validation free energy -7232.67596167
Pre-training layer 1, epoch 96, cost -24.7961410522
Pre-training layer 1, epoch 97, cost -24.8590870476
Pre-training layer 1, epoch 98, cost -24.8432577896
Pre-training layer 1, epoch 99, cost -24.8812157822
Pre-training layer 2, epoch 0, cost -44.7231407356
Pre-training layer 2, epoch 0, representative training free energy -11122.3436416
Pre-training layer 2, epoch 0, validation free energy -10927.0184814
Pre-training layer 2, epoch 1, cost -36.1620665805
Pre-training layer 2, epoch 2, cost -32.9929931831
Pre-training layer 2, epoch 3, cost -31.2089093145
Pre-training layer 2, epoch 4, cost -29.8858725802
Pre-training layer 2, epoch 5, cost -28.9369307073
Pre-training layer 2, epoch 5, representative training free energy -15079.4839863
Pre-training layer 2, epoch 5, validation free energy -14558.5969932
Pre-training layer 2, epoch 6, cost -28.2631317457
Pre-training layer 2, epoch 7, cost -27.7010002963
Pre-training layer 2, epoch 8, cost -27.291251901
Pre-training layer 2, epoch 9, cost -26.9045836258
Pre-training layer 2, epoch 10, cost -26.5595866966
Pre-training layer 2, epoch 10, representative training free energy -15966.384377
Pre-training layer 2, epoch 10, validation free energy -15362.8145098
Pre-training layer 2, epoch 11, cost -26.2820446332
Pre-training layer 2, epoch 12, cost -25.9813189316
Pre-training layer 2, epoch 13, cost -25.760518411
Pre-training layer 2, epoch 14, cost -25.5016822116
Pre-training layer 2, epoch 15, cost -25.295100886
Pre-training layer 2, epoch 15, representative training free energy -16473.5860488
Pre-training layer 2, epoch 15, validation free energy -15813.0284961
Pre-training layer 2, epoch 16, cost -25.1740661112
Pre-training layer 2, epoch 17, cost -25.031831665
Pre-training layer 2, epoch 18, cost -24.9019326782
Pre-training layer 2, epoch 19, cost -24.7160604668
Pre-training layer 2, epoch 20, cost -24.6044639651
Pre-training layer 2, epoch 20, representative training free energy -16973.6986494
Pre-training layer 2, epoch 20, validation free energy -16273.2104385
Pre-training layer 2, epoch 21, cost -24.5256270218
Pre-training layer 2, epoch 22, cost -24.3957687887
Pre-training layer 2, epoch 23, cost -24.3044586595
Pre-training layer 2, epoch 24, cost -24.2341476472
Pre-training layer 2, epoch 25, cost -24.1071183968
Pre-training layer 2, epoch 25, representative training free energy -17134.3853086
Pre-training layer 2, epoch 25, validation free energy -16382.6385234
Pre-training layer 2, epoch 26, cost -24.01476662
Pre-training layer 2, epoch 27, cost -23.9590815989
Pre-training layer 2, epoch 28, cost -23.8190027936
Pre-training layer 2, epoch 29, cost -23.8208197403
Pre-training layer 2, epoch 30, cost -23.7125440852
Pre-training layer 2, epoch 30, representative training free energy -17506.3605361
Pre-training layer 2, epoch 30, validation free energy -16703.8353877
Pre-training layer 2, epoch 31, cost -23.6749648539
Pre-training layer 2, epoch 32, cost -23.5935649014
Pre-training layer 2, epoch 33, cost -23.523921353
Pre-training layer 2, epoch 34, cost -23.5025565847
Pre-training layer 2, epoch 35, cost -23.4536237653
Pre-training layer 2, epoch 35, representative training free energy -17390.7383389
Pre-training layer 2, epoch 35, validation free energy -16593.7380967
Pre-training layer 2, epoch 36, cost -23.3934976641
Pre-training layer 2, epoch 37, cost -23.3309659608
Pre-training layer 2, epoch 38, cost -23.2599481169
Pre-training layer 2, epoch 39, cost -23.2560036119
Pre-training layer 2, epoch 40, cost -23.1715436808
Pre-training layer 2, epoch 40, representative training free energy -17740.4436172
Pre-training layer 2, epoch 40, validation free energy -16902.918002
Pre-training layer 2, epoch 41, cost -23.1724249299
Pre-training layer 2, epoch 42, cost -23.0983645471
Pre-training layer 2, epoch 43, cost -23.0511044407
Pre-training layer 2, epoch 44, cost -23.022679011
Pre-training layer 2, epoch 45, cost -23.0255719694
Pre-training layer 2, epoch 45, representative training free energy -17745.7176348
Pre-training layer 2, epoch 45, validation free energy -16920.8784209
Pre-training layer 2, epoch 46, cost -22.9396844927
Pre-training layer 2, epoch 47, cost -22.9369119612
Pre-training layer 2, epoch 48, cost -22.8491682879
Pre-training layer 2, epoch 49, cost -22.886100111
Pre-training layer 2, epoch 50, cost -22.8588705953
Pre-training layer 2, epoch 50, representative training free energy -17861.9228301
Pre-training layer 2, epoch 50, validation free energy -17003.9412109
Pre-training layer 2, epoch 51, cost -22.7994122791
Pre-training layer 2, epoch 52, cost -22.7540124544
Pre-training layer 2, epoch 53, cost -22.728432614
Pre-training layer 2, epoch 54, cost -22.7918458398
Pre-training layer 2, epoch 55, cost -22.7164571603
Pre-training layer 2, epoch 55, representative training free energy -18022.6214502
Pre-training layer 2, epoch 55, validation free energy -17150.3567109
Pre-training layer 2, epoch 56, cost -22.6530379613
Pre-training layer 2, epoch 57, cost -22.7695255152
Pre-training layer 2, epoch 58, cost -22.5929960791
Pre-training layer 2, epoch 59, cost -22.6979331366
Pre-training layer 2, epoch 60, cost -22.646412007
Pre-training layer 2, epoch 60, representative training free energy -18023.5108164
Pre-training layer 2, epoch 60, validation free energy -17129.0627617
Pre-training layer 2, epoch 61, cost -22.642882932
Pre-training layer 2, epoch 62, cost -22.5633417606
Pre-training layer 2, epoch 63, cost -22.4834323279
Pre-training layer 2, epoch 64, cost -22.4994337749
Pre-training layer 2, epoch 65, cost -22.4974700737
Pre-training layer 2, epoch 65, representative training free energy -17956.6121064
Pre-training layer 2, epoch 65, validation free energy -17059.2293955
Pre-training layer 2, epoch 66, cost -22.4637439283
Pre-training layer 2, epoch 67, cost -22.4617594083
Pre-training layer 2, epoch 68, cost -22.4707599576
Pre-training layer 2, epoch 69, cost -22.4091191355
Pre-training layer 2, epoch 70, cost -22.4067653751
Pre-training layer 2, epoch 70, representative training free energy -18287.7605391
Pre-training layer 2, epoch 70, validation free energy -17376.416248
Pre-training layer 2, epoch 71, cost -22.3808076127
Pre-training layer 2, epoch 72, cost -22.4057965724
Pre-training layer 2, epoch 73, cost -22.3328664112
Pre-training layer 2, epoch 74, cost -22.3609141127
Pre-training layer 2, epoch 75, cost -22.363323396
Pre-training layer 2, epoch 75, representative training free energy -18348.5571699
Pre-training layer 2, epoch 75, validation free energy -17420.2135293
Pre-training layer 2, epoch 76, cost -22.277344656
Pre-training layer 2, epoch 77, cost -22.3353406016
Pre-training layer 2, epoch 78, cost -22.2902402782
Pre-training layer 2, epoch 79, cost -22.246861728
Pre-training layer 2, epoch 80, cost -22.2959002082
Pre-training layer 2, epoch 80, representative training free energy -18361.7377578
Pre-training layer 2, epoch 80, validation free energy -17415.7262275
Pre-training layer 2, epoch 81, cost -22.2739779282
Pre-training layer 2, epoch 82, cost -22.2792367172
Pre-training layer 2, epoch 83, cost -22.2356178252
Pre-training layer 2, epoch 84, cost -22.164622399
Pre-training layer 2, epoch 85, cost -22.2196592681
Pre-training layer 2, epoch 85, representative training free energy -18419.2937461
Pre-training layer 2, epoch 85, validation free energy -17469.298126
Pre-training layer 2, epoch 86, cost -22.1590143077
Pre-training layer 2, epoch 87, cost -22.1854684512
Pre-training layer 2, epoch 88, cost -22.1163024871
Pre-training layer 2, epoch 89, cost -22.1133226744
Pre-training layer 2, epoch 90, cost -22.1206368001
Pre-training layer 2, epoch 90, representative training free energy -18450.6370811
Pre-training layer 2, epoch 90, validation free energy -17512.2438447
Pre-training layer 2, epoch 91, cost -22.1301613394
Pre-training layer 2, epoch 92, cost -22.1570785968
Pre-training layer 2, epoch 93, cost -22.1106363805
Pre-training layer 2, epoch 94, cost -22.1361438942
Pre-training layer 2, epoch 95, cost -22.1044171111
Pre-training layer 2, epoch 95, representative training free energy -18516.3735596
Pre-training layer 2, epoch 95, validation free energy -17553.9871895
Pre-training layer 2, epoch 96, cost -22.120295016
Pre-training layer 2, epoch 97, cost -22.0651961422
Pre-training layer 2, epoch 98, cost -22.0243305461
Pre-training layer 2, epoch 99, cost -22.0812731393
The pretraining code for file dbn_loop.pyc ran for 0.82m... getting the finetuning functions... finetuning the model
epoch 1, minibatch 300/300, validation error 14.600000 %
     epoch 1, minibatch 300/300, test error of best model 14.800000 %
epoch 2, minibatch 300/300, validation error 14.800000 %
epoch 3, minibatch 300/300, validation error 13.400000 %
     epoch 3, minibatch 300/300, test error of best model 11.800000 %
epoch 4, minibatch 300/300, validation error 12.600000 %
     epoch 4, minibatch 300/300, test error of best model 11.200000 %
epoch 5, minibatch 300/300, validation error 12.600000 %
epoch 6, minibatch 300/300, validation error 12.800000 %
epoch 7, minibatch 300/300, validation error 12.400000 %
     epoch 7, minibatch 300/300, test error of best model 10.400000 %
epoch 8, minibatch 300/300, validation error 12.000000 %
     epoch 8, minibatch 300/300, test error of best model 10.200000 %
epoch 9, minibatch 300/300, validation error 11.600000 %
     epoch 9, minibatch 300/300, test error of best model 10.400000 %
epoch 10, minibatch 300/300, validation error 10.800000 %
     epoch 10, minibatch 300/300, test error of best model 10.200000 %
epoch 11, minibatch 300/300, validation error 10.400000 %
     epoch 11, minibatch 300/300, test error of best model 9.800000 %
epoch 12, minibatch 300/300, validation error 10.400000 %
epoch 13, minibatch 300/300, validation error 10.400000 %
epoch 14, minibatch 300/300, validation error 10.400000 %
epoch 15, minibatch 300/300, validation error 10.600000 %
epoch 16, minibatch 300/300, validation error 10.800000 %
epoch 17, minibatch 300/300, validation error 10.800000 %
epoch 18, minibatch 300/300, validation error 10.800000 %
epoch 19, minibatch 300/300, validation error 11.000000 %
epoch 20, minibatch 300/300, validation error 11.200000 %
epoch 21, minibatch 300/300, validation error 11.200000 %
Optimization complete with best validation score of 10.400000 %, obtained at iteration 3300, with test performance 9.800000 %
The fine tuning code for file dbn_loop.pyc ran for 0.04m


==========Samples: (5000, 500, 500) ===========

... building the model
... getting the pretraining functions
... pre-training the model
Pre-training layer 0, epoch 0, cost -208.604199615
Pre-training layer 0, epoch 0, representative training free energy -91.6744965134
Pre-training layer 0, epoch 0, validation free energy -91.2129513397
Pre-training layer 0, epoch 1, cost -148.389161133
Pre-training layer 0, epoch 2, cost -136.040815308
