_______RUN: 0

==========Sample Size: (1000, 1000, 1000) ===========
Pre-training layer 0, epoch 4, cost -98.4014991252
Pre-training layer 0, epoch 5, cost -95.6202276357
Pre-training layer 0, epoch 5, representative training free energy -503.828503784
Pre-training layer 0, epoch 5, validation free energy -498.48968045
Pre-training layer 0, epoch 6, cost -93.594515152
Pre-training layer 0, epoch 7, cost -91.8460911814
Pre-training layer 0, epoch 8, cost -90.4591273499
Pre-training layer 0, epoch 9, cost -89.4450159454
Pre-training layer 0, epoch 10, cost -88.220378329
Pre-training layer 0, epoch 10, representative training free energy -481.33636676
Pre-training layer 0, epoch 10, validation free energy -475.258418732
Pre-training layer 0, epoch 11, cost -87.25576238
Pre-training layer 0, epoch 12, cost -86.4351315562
Pre-training layer 0, epoch 13, cost -85.8956414541
Pre-training layer 0, epoch 14, cost -85.0557489268
Pre-training layer 0, epoch 15, cost -84.7202037684
Pre-training layer 0, epoch 15, representative training free energy -470.238537415
Pre-training layer 0, epoch 15, validation free energy -463.626377228
Pre-training layer 0, epoch 16, cost -84.0596896108
Pre-training layer 0, epoch 17, cost -83.5780794907
Pre-training layer 0, epoch 18, cost -83.1253550339
Pre-training layer 0, epoch 19, cost -82.5129963557
Pre-training layer 0, epoch 20, cost -82.3058538946
Pre-training layer 0, epoch 20, representative training free energy -463.774241577
Pre-training layer 0, epoch 20, validation free energy -457.01582666
Pre-training layer 0, epoch 21, cost -82.0251977158
Pre-training layer 0, epoch 22, cost -81.5136483637
Pre-training layer 0, epoch 23, cost -81.1661544545
Pre-training layer 0, epoch 24, cost -80.6856101227
Pre-training layer 0, epoch 25, cost -80.6657342911
Pre-training layer 0, epoch 25, representative training free energy -456.713586304
Pre-training layer 0, epoch 25, validation free energy -449.417063416
Pre-training layer 0, epoch 26, cost -80.1064493815
Pre-training layer 0, epoch 27, cost -79.8340573502
Pre-training layer 0, epoch 28, cost -79.6839308929
Pre-training layer 0, epoch 29, cost -79.5720386632
Pre-training layer 0, epoch 30, cost -79.1803165944
Pre-training layer 0, epoch 30, representative training free energy -452.437956116
Pre-training layer 0, epoch 30, validation free energy -444.477117615
Pre-training layer 0, epoch 31, cost -79.0268643824
Pre-training layer 0, epoch 32, cost -78.8803791936
Pre-training layer 0, epoch 33, cost -78.6588469823
Pre-training layer 0, epoch 34, cost -78.3693975067
Pre-training layer 0, epoch 35, cost -78.3820366033
Pre-training layer 0, epoch 35, representative training free energy -449.892666718
Pre-training layer 0, epoch 35, validation free energy -441.849498138
Pre-training layer 0, epoch 36, cost -78.0278466415
Pre-training layer 0, epoch 37, cost -77.9395441945
Pre-training layer 0, epoch 38, cost -77.8035724131
Pre-training layer 0, epoch 39, cost -77.6032243601
Pre-training layer 0, epoch 40, cost -77.4399026362
Pre-training layer 0, epoch 40, representative training free energy -447.463225677
Pre-training layer 0, epoch 40, validation free energy -438.586667511
Pre-training layer 0, epoch 41, cost -77.1500514476
Pre-training layer 0, epoch 42, cost -77.0435763295
Pre-training layer 0, epoch 43, cost -77.05996123
Pre-training layer 0, epoch 44, cost -76.8221284739
Pre-training layer 0, epoch 45, cost -76.6065874481
Pre-training layer 0, epoch 45, representative training free energy -445.805090088
Pre-training layer 0, epoch 45, validation free energy -437.230072021
Pre-training layer 0, epoch 46, cost -76.4619135412
Pre-training layer 0, epoch 47, cost -76.3987453206
Pre-training layer 0, epoch 48, cost -76.2728625107
Pre-training layer 0, epoch 49, cost -76.2760243861
Pre-training layer 0, epoch 50, cost -76.2101377996
Pre-training layer 0, epoch 50, representative training free energy -445.52524469
Pre-training layer 0, epoch 50, validation free energy -435.839891998
Pre-training layer 0, epoch 51, cost -75.7545230738
Pre-training layer 0, epoch 52, cost -75.8189586894
Pre-training layer 0, epoch 53, cost -75.6341676458
Pre-training layer 0, epoch 54, cost -75.6948609543
Pre-training layer 0, epoch 55, cost -75.5947348531
Pre-training layer 0, epoch 55, representative training free energy -446.040949738
Pre-training layer 0, epoch 55, validation free energy -436.80436496
Pre-training layer 0, epoch 56, cost -75.4122920609
Pre-training layer 0, epoch 57, cost -75.2436140442
Pre-training layer 0, epoch 58, cost -75.2379513931
Pre-training layer 0, epoch 59, cost -75.175273145
Pre-training layer 0, epoch 60, cost -74.9144576263
Pre-training layer 0, epoch 60, representative training free energy -441.127253326
Pre-training layer 0, epoch 60, validation free energy -431.763308289
Pre-training layer 0, epoch 61, cost -74.9192090861
Pre-training layer 0, epoch 62, cost -74.9251410294
Pre-training layer 0, epoch 63, cost -74.743482844
Pre-training layer 0, epoch 64, cost -74.7460946274
Pre-training layer 0, epoch 65, cost -74.5070417404
Pre-training layer 0, epoch 65, representative training free energy -441.035987183
Pre-training layer 0, epoch 65, validation free energy -431.634339752
Pre-training layer 0, epoch 66, cost -74.5716844686
Pre-training layer 0, epoch 67, cost -74.3119572194
Pre-training layer 0, epoch 68, cost -74.4525076294
Pre-training layer 0, epoch 69, cost -74.2971915181
Pre-training layer 0, epoch 70, cost -74.0946163559
Pre-training layer 0, epoch 70, representative training free energy -437.700652496
Pre-training layer 0, epoch 70, validation free energy -427.433237427
Pre-training layer 0, epoch 71, cost -74.2715136592
Pre-training layer 0, epoch 72, cost -74.0428949992
Pre-training layer 0, epoch 73, cost -73.8366799672
Pre-training layer 0, epoch 74, cost -73.9593884786
Pre-training layer 0, epoch 75, cost -74.0057370249
Pre-training layer 0, epoch 75, representative training free energy -438.035937042
Pre-training layer 0, epoch 75, validation free energy -427.853801361
Pre-training layer 0, epoch 76, cost -73.8060471344
Pre-training layer 0, epoch 77, cost -73.6665339025
Pre-training layer 0, epoch 78, cost -73.7118646367
Pre-training layer 0, epoch 79, cost -73.6073159663
Pre-training layer 0, epoch 80, cost -73.4884378306
Pre-training layer 0, epoch 80, representative training free energy -438.383410614
Pre-training layer 0, epoch 80, validation free energy -428.368546082
Pre-training layer 0, epoch 81, cost -73.4430251567
Pre-training layer 0, epoch 82, cost -73.3955894852
Pre-training layer 0, epoch 83, cost -73.4156143697
Pre-training layer 0, epoch 84, cost -73.1800930913
Pre-training layer 0, epoch 85, cost -73.1319428762
Pre-training layer 0, epoch 85, representative training free energy -439.035464813
Pre-training layer 0, epoch 85, validation free energy -428.343213043
Pre-training layer 0, epoch 86, cost -73.240433019
Pre-training layer 0, epoch 87, cost -73.0350695165
Pre-training layer 0, epoch 88, cost -73.0355592092
Pre-training layer 0, epoch 89, cost -72.8906747055
Pre-training layer 0, epoch 90, cost -72.8912090683
Pre-training layer 0, epoch 90, representative training free energy -434.931530426
Pre-training layer 0, epoch 90, validation free energy -424.022948425
Pre-training layer 0, epoch 91, cost -72.9514513524
Pre-training layer 0, epoch 92, cost -72.9231524658
Pre-training layer 0, epoch 93, cost -72.8826953379
Pre-training layer 0, epoch 94, cost -72.6125165812
Pre-training layer 0, epoch 95, cost -72.7070191447
Pre-training layer 0, epoch 95, representative training free energy -436.44141095
Pre-training layer 0, epoch 95, validation free energy -425.810399261
Pre-training layer 0, epoch 96, cost -72.6770100784
Pre-training layer 0, epoch 97, cost -72.6211993408
Pre-training layer 0, epoch 98, cost -72.5446641159
Pre-training layer 0, epoch 99, cost -72.4412435023
Pre-training layer 1, epoch 0, cost -346.301519623
Pre-training layer 1, epoch 0, representative training free energy -50708.4300205
Pre-training layer 1, epoch 0, validation free energy -50157.8787998
Pre-training layer 1, epoch 1, cost -297.286490682
Pre-training layer 1, epoch 2, cost -282.375790253
Pre-training layer 1, epoch 3, cost -273.595046183
Pre-training layer 1, epoch 4, cost -267.340385793
Pre-training layer 1, epoch 5, cost -262.726442769
Pre-training layer 1, epoch 5, representative training free energy -68672.0648242
Pre-training layer 1, epoch 5, validation free energy -67880.7314473
Pre-training layer 1, epoch 6, cost -259.310934041
Pre-training layer 1, epoch 7, cost -256.52645518
Pre-training layer 1, epoch 8, cost -254.111054942
Pre-training layer 1, epoch 9, cost -251.981654358
Pre-training layer 1, epoch 10, cost -250.186168213
Pre-training layer 1, epoch 10, representative training free energy -74248.5010566
Pre-training layer 1, epoch 10, validation free energy -73393.3380996
Pre-training layer 1, epoch 11, cost -248.964829407
Pre-training layer 1, epoch 12, cost -247.518846181
Pre-training layer 1, epoch 13, cost -246.289395905
Pre-training layer 1, epoch 14, cost -245.284783427
Pre-training layer 1, epoch 15, cost -244.272285868
Pre-training layer 1, epoch 15, representative training free energy -77446.4318965
Pre-training layer 1, epoch 15, validation free energy -76558.9347363
Pre-training layer 1, epoch 16, cost -243.471471863
Pre-training layer 1, epoch 17, cost -242.534257812
Pre-training layer 1, epoch 18, cost -242.026137034
Pre-training layer 1, epoch 19, cost -241.390491028
Pre-training layer 1, epoch 20, cost -240.758848012
Pre-training layer 1, epoch 20, representative training free energy -79663.9269238
Pre-training layer 1, epoch 20, validation free energy -78753.8913652
Pre-training layer 1, epoch 21, cost -240.174071198
Pre-training layer 1, epoch 22, cost -239.61849467
Pre-training layer 1, epoch 23, cost -239.198244222
Pre-training layer 1, epoch 24, cost -238.735960592
Pre-training layer 1, epoch 25, cost -238.129451955
Pre-training layer 1, epoch 25, representative training free energy -81498.4858477
Pre-training layer 1, epoch 25, validation free energy -80557.7114512
Pre-training layer 1, epoch 26, cost -237.847195943
Pre-training layer 1, epoch 27, cost -237.485750682
Pre-training layer 1, epoch 28, cost -236.958545329
Pre-training layer 1, epoch 29, cost -236.800115967
Pre-training layer 1, epoch 30, cost -236.400311279
Pre-training layer 1, epoch 30, representative training free energy -82989.5212852
Pre-training layer 1, epoch 30, validation free energy -82030.3650527
Pre-training layer 1, epoch 31, cost -236.063606873
Pre-training layer 1, epoch 32, cost -235.73372467
Pre-training layer 1, epoch 33, cost -235.580614065
Pre-training layer 1, epoch 34, cost -235.40001358
Pre-training layer 1, epoch 35, cost -235.037427419
Pre-training layer 1, epoch 35, representative training free energy -84259.4424687
Pre-training layer 1, epoch 35, validation free energy -83282.778332
Pre-training layer 1, epoch 36, cost -234.775730693
Pre-training layer 1, epoch 37, cost -234.626040293
Pre-training layer 1, epoch 38, cost -234.376304525
Pre-training layer 1, epoch 39, cost -234.190454915
Pre-training layer 1, epoch 40, cost -234.075074921
Pre-training layer 1, epoch 40, representative training free energy -85308.8677559
Pre-training layer 1, epoch 40, validation free energy -84330.4657305
Pre-training layer 1, epoch 41, cost -233.836926524
Pre-training layer 1, epoch 42, cost -233.533507131
Pre-training layer 1, epoch 43, cost -233.417695516
Pre-training layer 1, epoch 44, cost -233.174874268
Pre-training layer 1, epoch 45, cost -232.919923248
Pre-training layer 1, epoch 45, representative training free energy -86289.7876484
Pre-training layer 1, epoch 45, validation free energy -85297.6624648
Pre-training layer 1, epoch 46, cost -232.872067719
Pre-training layer 1, epoch 47, cost -232.709355672
Pre-training layer 1, epoch 48, cost -232.546301727
Pre-training layer 1, epoch 49, cost -232.427097473
Pre-training layer 1, epoch 50, cost -232.088914693
Pre-training layer 1, epoch 50, representative training free energy -87085.1790957
Pre-training layer 1, epoch 50, validation free energy -86089.0172871
Pre-training layer 1, epoch 51, cost -232.107392782
Pre-training layer 1, epoch 52, cost -232.009729716
Pre-training layer 1, epoch 53, cost -231.763732096
Pre-training layer 1, epoch 54, cost -231.846370392
Pre-training layer 1, epoch 55, cost -231.584732157
Pre-training layer 1, epoch 55, representative training free energy -87913.6674258
Pre-training layer 1, epoch 55, validation free energy -86905.9780742
Pre-training layer 1, epoch 56, cost -231.464379018
Pre-training layer 1, epoch 57, cost -231.2872435
Pre-training layer 1, epoch 58, cost -231.277075195
Pre-training layer 1, epoch 59, cost -231.179046529
Pre-training layer 1, epoch 60, cost -231.025151927
Pre-training layer 1, epoch 60, representative training free energy -88589.2217754
Pre-training layer 1, epoch 60, validation free energy -87579.543625
Pre-training layer 1, epoch 61, cost -230.983940582
Pre-training layer 1, epoch 62, cost -230.851407827
Pre-training layer 1, epoch 63, cost -230.723394165
Pre-training layer 1, epoch 64, cost -230.473712056
Pre-training layer 1, epoch 65, cost -230.468943481
Pre-training layer 1, epoch 65, representative training free energy -89241.2311367
Pre-training layer 1, epoch 65, validation free energy -88212.0339746
Pre-training layer 1, epoch 66, cost -230.298233744
Pre-training layer 1, epoch 67, cost -230.399821014
Pre-training layer 1, epoch 68, cost -230.280846405
Pre-training layer 1, epoch 69, cost -230.033295593
Pre-training layer 1, epoch 70, cost -230.048656108
Pre-training layer 1, epoch 70, representative training free energy -89838.038252
Pre-training layer 1, epoch 70, validation free energy -88800.6849746
Pre-training layer 1, epoch 71, cost -229.840736287
Pre-training layer 1, epoch 72, cost -229.768621368
Pre-training layer 1, epoch 73, cost -229.75033783
Pre-training layer 1, epoch 74, cost -229.592118683
Pre-training layer 1, epoch 75, cost -229.486147817
Pre-training layer 1, epoch 75, representative training free energy -90331.5938477
Pre-training layer 1, epoch 75, validation free energy -89298.0664609
Pre-training layer 1, epoch 76, cost -229.589538981
Pre-training layer 1, epoch 77, cost -229.56007843
Pre-training layer 1, epoch 78, cost -229.368326365
Pre-training layer 1, epoch 79, cost -229.147552185
Pre-training layer 1, epoch 80, cost -229.235258636
Pre-training layer 1, epoch 80, representative training free energy -90875.3287266
Pre-training layer 1, epoch 80, validation free energy -89826.2368789
Pre-training layer 1, epoch 81, cost -229.145947418
Pre-training layer 1, epoch 82, cost -229.045131887
Pre-training layer 1, epoch 83, cost -229.008365987
Pre-training layer 1, epoch 84, cost -228.832596639
Pre-training layer 1, epoch 85, cost -228.851198578
Pre-training layer 1, epoch 85, representative training free energy -91528.2257188
Pre-training layer 1, epoch 85, validation free energy -90473.3399727
Pre-training layer 1, epoch 86, cost -228.757139333
Pre-training layer 1, epoch 87, cost -228.765577799
Pre-training layer 1, epoch 88, cost -228.544938558
Pre-training layer 1, epoch 89, cost -228.539742686
Pre-training layer 1, epoch 90, cost -228.403472392
Pre-training layer 1, epoch 90, representative training free energy -91948.9981035
Pre-training layer 1, epoch 90, validation free energy -90873.0239004
Pre-training layer 1, epoch 91, cost -228.502283071
Pre-training layer 1, epoch 92, cost -228.459408569
Pre-training layer 1, epoch 93, cost -228.379015808
Pre-training layer 1, epoch 94, cost -228.345481873
Pre-training layer 1, epoch 95, cost -228.241771291
Pre-training layer 1, epoch 95, representative training free energy -92386.5707207
Pre-training layer 1, epoch 95, validation free energy -91323.782168
Pre-training layer 1, epoch 96, cost -228.125196991
Pre-training layer 1, epoch 97, cost -228.163728129
Pre-training layer 1, epoch 98, cost -228.072546844
Pre-training layer 1, epoch 99, cost -227.981598053
Pre-training layer 2, epoch 0, cost -127.995430349
Pre-training layer 2, epoch 0, representative training free energy 3235.9181521
Pre-training layer 2, epoch 0, validation free energy 3155.40234424
Pre-training layer 2, epoch 1, cost -94.0290015157
Pre-training layer 2, epoch 2, cost -86.9320693461
Pre-training layer 2, epoch 3, cost -82.739748497
Pre-training layer 2, epoch 4, cost -80.0190989812
Pre-training layer 2, epoch 5, cost -77.8802256648
Pre-training layer 2, epoch 5, representative training free energy 4862.06909229
Pre-training layer 2, epoch 5, validation free energy 4777.89610876
Pre-training layer 2, epoch 6, cost -76.2975465012
Pre-training layer 2, epoch 7, cost -75.2090700022
Pre-training layer 2, epoch 8, cost -74.0953281657
Pre-training layer 2, epoch 9, cost -73.1506591161
Pre-training layer 2, epoch 10, cost -72.4144004949
Pre-training layer 2, epoch 10, representative training free energy 5738.77208545
Pre-training layer 2, epoch 10, validation free energy 5648.50904663
Pre-training layer 2, epoch 11, cost -71.7445290629
Pre-training layer 2, epoch 12, cost -71.1275495656
Pre-training layer 2, epoch 13, cost -70.6252951686
Pre-training layer 2, epoch 14, cost -70.1813154475
Pre-training layer 2, epoch 15, cost -69.6756235123
Pre-training layer 2, epoch 15, representative training free energy 6442.89500208
Pre-training layer 2, epoch 15, validation free energy 6354.4947749
Pre-training layer 2, epoch 16, cost -69.3915154394
Pre-training layer 2, epoch 17, cost -68.9338491821
Pre-training layer 2, epoch 18, cost -68.6778265762
Pre-training layer 2, epoch 19, cost -68.3413252894
Pre-training layer 2, epoch 20, cost -68.1022899373
Pre-training layer 2, epoch 20, representative training free energy 7001.72852783
Pre-training layer 2, epoch 20, validation free energy 6917.76766528
Pre-training layer 2, epoch 21, cost -67.9199578985
Pre-training layer 2, epoch 22, cost -67.6647727839
Pre-training layer 2, epoch 23, cost -67.4451096471
Pre-training layer 2, epoch 24, cost -67.1811965179
Pre-training layer 2, epoch 25, cost -67.0451054382
Pre-training layer 2, epoch 25, representative training free energy 7491.18558984
Pre-training layer 2, epoch 25, validation free energy 7402.89602051
Pre-training layer 2, epoch 26, cost -66.742939682
Pre-training layer 2, epoch 27, cost -66.6439183299
Pre-training layer 2, epoch 28, cost -66.4692967224
Pre-training layer 2, epoch 29, cost -66.3486788177
Pre-training layer 2, epoch 30, cost -66.2368142573
Pre-training layer 2, epoch 30, representative training free energy 7857.24748535
Pre-training layer 2, epoch 30, validation free energy 7762.04916968
Pre-training layer 2, epoch 31, cost -66.0712712097
Pre-training layer 2, epoch 32, cost -65.9425171789
Pre-training layer 2, epoch 33, cost -65.8920378367
Pre-training layer 2, epoch 34, cost -65.7804623667
Pre-training layer 2, epoch 35, cost -65.4783978399
Pre-training layer 2, epoch 35, representative training free energy 8224.19732764
Pre-training layer 2, epoch 35, validation free energy 8127.29615527
Pre-training layer 2, epoch 36, cost -65.5045583979
Pre-training layer 2, epoch 37, cost -65.396874822
Pre-training layer 2, epoch 38, cost -65.2329069265
Pre-training layer 2, epoch 39, cost -65.1518147024
Pre-training layer 2, epoch 40, cost -65.0880133311
Pre-training layer 2, epoch 40, representative training free energy 8570.21830396
Pre-training layer 2, epoch 40, validation free energy 8470.18961963
Pre-training layer 2, epoch 41, cost -65.0550955709
Pre-training layer 2, epoch 42, cost -64.9351512909
Pre-training layer 2, epoch 43, cost -64.9300171153
Pre-training layer 2, epoch 44, cost -64.7647121684
Pre-training layer 2, epoch 45, cost -64.6831581624
Pre-training layer 2, epoch 45, representative training free energy 8856.72178906
Pre-training layer 2, epoch 45, validation free energy 8752.10281494
Pre-training layer 2, epoch 46, cost -64.6589872996
Pre-training layer 2, epoch 47, cost -64.5393618266
Pre-training layer 2, epoch 48, cost -64.5850530752
Pre-training layer 2, epoch 49, cost -64.4080929438
Pre-training layer 2, epoch 50, cost -64.4285886256
Pre-training layer 2, epoch 50, representative training free energy 9156.82265552
Pre-training layer 2, epoch 50, validation free energy 9049.80729443
Pre-training layer 2, epoch 51, cost -64.2943970998
Pre-training layer 2, epoch 52, cost -64.2865662257
Pre-training layer 2, epoch 53, cost -64.1593837865
Pre-training layer 2, epoch 54, cost -64.0060293325
Pre-training layer 2, epoch 55, cost -64.2002916972
Pre-training layer 2, epoch 55, representative training free energy 9370.76521021
Pre-training layer 2, epoch 55, validation free energy 9259.56440576
Pre-training layer 2, epoch 56, cost -64.0734882609
Pre-training layer 2, epoch 57, cost -63.9370740255
Pre-training layer 2, epoch 58, cost -63.8807709757
Pre-training layer 2, epoch 59, cost -63.8636672719
Pre-training layer 2, epoch 60, cost -63.8211073812
Pre-training layer 2, epoch 60, representative training free energy 9646.68292676
Pre-training layer 2, epoch 60, validation free energy 9532.43520654
Pre-training layer 2, epoch 61, cost -63.8235161845
Pre-training layer 2, epoch 62, cost -63.7746685282
Pre-training layer 2, epoch 63, cost -63.7361556753
Pre-training layer 2, epoch 64, cost -63.6581917953
Pre-training layer 2, epoch 65, cost -63.6541296768
Pre-training layer 2, epoch 65, representative training free energy 9888.22860815
Pre-training layer 2, epoch 65, validation free energy 9771.18088745
Pre-training layer 2, epoch 66, cost -63.5872874324
Pre-training layer 2, epoch 67, cost -63.5367874908
Pre-training layer 2, epoch 68, cost -63.5248358281
Pre-training layer 2, epoch 69, cost -63.493856163
Pre-training layer 2, epoch 70, cost -63.473045845
Pre-training layer 2, epoch 70, representative training free energy 10134.8715635
Pre-training layer 2, epoch 70, validation free energy 10013.9129128
Pre-training layer 2, epoch 71, cost -63.4104600398
Pre-training layer 2, epoch 72, cost -63.3238020833
Pre-training layer 2, epoch 73, cost -63.309695727
Pre-training layer 2, epoch 74, cost -63.2079603704
Pre-training layer 2, epoch 75, cost -63.253199234
Pre-training layer 2, epoch 75, representative training free energy 10341.9605168
Pre-training layer 2, epoch 75, validation free energy 10218.8196382
Pre-training layer 2, epoch 76, cost -63.1822788239
Pre-training layer 2, epoch 77, cost -63.1409314728
Pre-training layer 2, epoch 78, cost -63.175620931
Pre-training layer 2, epoch 79, cost -63.2039441045
Pre-training layer 2, epoch 80, cost -63.2504243088
Pre-training layer 2, epoch 80, representative training free energy 10539.0230608
Pre-training layer 2, epoch 80, validation free energy 10411.7827122
Pre-training layer 2, epoch 81, cost -63.1226566442
Pre-training layer 2, epoch 82, cost -63.0836694717
Pre-training layer 2, epoch 83, cost -63.0608713913
Pre-training layer 2, epoch 84, cost -63.0518018087
Pre-training layer 2, epoch 85, cost -62.9409629822
Pre-training layer 2, epoch 85, representative training free energy 10772.7658142
Pre-training layer 2, epoch 85, validation free energy 10644.097832
Pre-training layer 2, epoch 86, cost -62.9611762238
Pre-training layer 2, epoch 87, cost -62.9183906174
Pre-training layer 2, epoch 88, cost -62.74858476
Pre-training layer 2, epoch 89, cost -62.9249404271
Pre-training layer 2, epoch 90, cost -62.8982621384
Pre-training layer 2, epoch 90, representative training free energy 10954.2698804
Pre-training layer 2, epoch 90, validation free energy 10823.1513545
Pre-training layer 2, epoch 91, cost -62.8451593018
Pre-training layer 2, epoch 92, cost -62.7648133977
Pre-training layer 2, epoch 93, cost -62.7981107712
Pre-training layer 2, epoch 94, cost -62.7644120916
Pre-training layer 2, epoch 95, cost -62.7386987813
Pre-training layer 2, epoch 95, representative training free energy 11168.5445127
Pre-training layer 2, epoch 95, validation free energy 11032.7935886
Pre-training layer 2, epoch 96, cost -62.6580172729
Pre-training layer 2, epoch 97, cost -62.6151489512
Pre-training layer 2, epoch 98, cost -62.690006218
Pre-training layer 2, epoch 99, cost -62.6224848048
The pretraining code for file dbn_loop.pyc ran for 2.85m... getting the finetuning functions... finetuning the model
epoch 1, minibatch 300/300, validation error 10.700000 %
     epoch 1, minibatch 300/300, test error of best model 11.600000 %
epoch 2, minibatch 300/300, validation error 9.200000 %
     epoch 2, minibatch 300/300, test error of best model 10.000000 %
epoch 3, minibatch 300/300, validation error 8.700000 %
     epoch 3, minibatch 300/300, test error of best model 8.900000 %
epoch 4, minibatch 300/300, validation error 8.700000 %
epoch 5, minibatch 300/300, validation error 8.200000 %
     epoch 5, minibatch 300/300, test error of best model 8.300000 %
epoch 6, minibatch 300/300, validation error 8.100000 %
     epoch 6, minibatch 300/300, test error of best model 7.900000 %
epoch 7, minibatch 300/300, validation error 8.000000 %
     epoch 7, minibatch 300/300, test error of best model 7.700000 %
epoch 8, minibatch 300/300, validation error 7.900000 %
     epoch 8, minibatch 300/300, test error of best model 7.200000 %
epoch 9, minibatch 300/300, validation error 7.900000 %
epoch 10, minibatch 300/300, validation error 7.800000 %
     epoch 10, minibatch 300/300, test error of best model 7.300000 %
epoch 11, minibatch 300/300, validation error 7.900000 %
epoch 12, minibatch 300/300, validation error 8.100000 %
epoch 13, minibatch 300/300, validation error 8.200000 %
epoch 14, minibatch 300/300, validation error 8.400000 %
epoch 15, minibatch 300/300, validation error 8.500000 %
epoch 16, minibatch 300/300, validation error 8.500000 %
epoch 17, minibatch 300/300, validation error 8.300000 %
epoch 18, minibatch 300/300, validation error 8.100000 %
epoch 19, minibatch 300/300, validation error 8.000000 %
Optimization complete with best validation score of 7.800000 %, obtained at iteration 3000, with test performance 7.300000 %
The fine tuning code for file dbn_loop.pyc ran for 0.26m


==========Sample Size: (4000, 1000, 1000) ===========

... building the model
... getting the pretraining functions
... pre-training the model
Pre-training layer 0, epoch 0, cost -142.435302505
Pre-training layer 0, epoch 0, representative training free energy -552.076575775
Pre-training layer 0, epoch 0, validation free energy -549.37970929
Pre-training layer 0, epoch 1, cost -111.259866161
Pre-training layer 0, epoch 2, cost -103.066906662
Pre-training layer 0, epoch 3, cost -98.1763906097
Pre-training layer 0, epoch 4, cost -94.9465360451
Pre-training layer 0, epoch 5, cost -92.6473996353
Pre-training layer 0, epoch 5, representative training free energy -489.366557434
Pre-training layer 0, epoch 5, validation free energy -485.504647278
Pre-training layer 0, epoch 6, cost -90.7799381256
Pre-training layer 0, epoch 7, cost -89.4049313545
Pre-training layer 0, epoch 8, cost -88.0322462654
Pre-training layer 0, epoch 9, cost -87.0265810585
Pre-training layer 0, epoch 10, cost -86.0176455688
Pre-training layer 0, epoch 10, representative training free energy -467.022883667
Pre-training layer 0, epoch 10, validation free energy -462.582421387
Pre-training layer 0, epoch 11, cost -85.4078335857
Pre-training layer 0, epoch 12, cost -84.6164297295
Pre-training layer 0, epoch 13, cost -83.8906892109
Pre-training layer 0, epoch 14, cost -83.3396957779
Pre-training layer 0, epoch 15, cost -82.8602912045
Pre-training layer 0, epoch 15, representative training free energy -451.378494965
Pre-training layer 0, epoch 15, validation free energy -445.768120575
Pre-training layer 0, epoch 16, cost -82.4562421036
Pre-training layer 0, epoch 17, cost -82.1760895157
Pre-training layer 0, epoch 18, cost -81.5579386997
Pre-training layer 0, epoch 19, cost -81.137741127
Pre-training layer 0, epoch 20, cost -80.9392268467
Pre-training layer 0, epoch 20, representative training free energy -444.074974091
Pre-training layer 0, epoch 20, validation free energy -438.100284485
Pre-training layer 0, epoch 21, cost -80.6267226791
Pre-training layer 0, epoch 22, cost -80.3612105274
Pre-training layer 0, epoch 23, cost -79.9521786404
Pre-training layer 0, epoch 24, cost -79.7554657364
Pre-training layer 0, epoch 25, cost -79.4207795048
Pre-training layer 0, epoch 25, representative training free energy -439.896835602
Pre-training layer 0, epoch 25, validation free energy -433.962331787
Pre-training layer 0, epoch 26, cost -79.1394778633
Pre-training layer 0, epoch 27, cost -79.033340292
Pre-training layer 0, epoch 28, cost -78.6988955784
Pre-training layer 0, epoch 29, cost -78.4597907448
Pre-training layer 0, epoch 30, cost -78.4118080902
Pre-training layer 0, epoch 30, representative training free energy -435.669532806
Pre-training layer 0, epoch 30, validation free energy -429.52412265
Pre-training layer 0, epoch 31, cost -78.1648340034
Pre-training layer 0, epoch 32, cost -77.9756730747
Pre-training layer 0, epoch 33, cost -77.6631506252
Pre-training layer 0, epoch 34, cost -77.6065263367
Pre-training layer 0, epoch 35, cost -77.3211418247
Pre-training layer 0, epoch 35, representative training free energy -432.883566925
Pre-training layer 0, epoch 35, validation free energy -425.850362305
Pre-training layer 0, epoch 36, cost -77.4230625057
Pre-training layer 0, epoch 37, cost -77.0829927444
Pre-training layer 0, epoch 38, cost -77.1110779858
Pre-training layer 0, epoch 39, cost -76.7979432869
Pre-training layer 0, epoch 40, cost -76.6236195469
Pre-training layer 0, epoch 40, representative training free energy -432.203500549
Pre-training layer 0, epoch 40, validation free energy -425.618012024
Pre-training layer 0, epoch 41, cost -76.5910858822
Pre-training layer 0, epoch 42, cost -76.4328779411
Pre-training layer 0, epoch 43, cost -76.3047108173
Pre-training layer 0, epoch 44, cost -76.1192893982
Pre-training layer 0, epoch 45, cost -75.9802153778
Pre-training layer 0, epoch 45, representative training free energy -427.008530731
Pre-training layer 0, epoch 45, validation free energy -419.982566956
Pre-training layer 0, epoch 46, cost -75.9879445076
Pre-training layer 0, epoch 47, cost -75.895378809
Pre-training layer 0, epoch 48, cost -75.6390372372
Pre-training layer 0, epoch 49, cost -75.605220747
Pre-training layer 0, epoch 50, cost -75.4872782898
Pre-training layer 0, epoch 50, representative training free energy -427.072218445
Pre-training layer 0, epoch 50, validation free energy -420.715648132
Pre-training layer 0, epoch 51, cost -75.4291933441
Pre-training layer 0, epoch 52, cost -75.3206863785
Pre-training layer 0, epoch 53, cost -75.2862668705
Pre-training layer 0, epoch 54, cost -75.0998320389
