_______RUN: 0

==========Sample Size: (1000, 1000, 1000) ===========
Pre-training layer 2, epoch 35, representative training free energy 195490.325004
Pre-training layer 2, epoch 35, validation free energy 194496.74484
Pre-training layer 2, epoch 36, cost -59.3447738266
Pre-training layer 2, epoch 37, cost -59.1868175888
Pre-training layer 2, epoch 38, cost -59.1112162781
Pre-training layer 2, epoch 39, cost -59.0219903755
Pre-training layer 2, epoch 40, cost -58.873990593
Pre-training layer 2, epoch 40, representative training free energy 205715.926379
Pre-training layer 2, epoch 40, validation free energy 204621.474664
Pre-training layer 2, epoch 41, cost -58.7758802605
Pre-training layer 2, epoch 42, cost -58.7665120697
Pre-training layer 2, epoch 43, cost -58.4744988823
Pre-training layer 2, epoch 44, cost -58.4852604866
Pre-training layer 2, epoch 45, cost -58.3701619148
Pre-training layer 2, epoch 45, representative training free energy 214616.458883
Pre-training layer 2, epoch 45, validation free energy 213454.237844
Pre-training layer 2, epoch 46, cost -58.2871492195
Pre-training layer 2, epoch 47, cost -58.2990026665
Pre-training layer 2, epoch 48, cost -58.1363517952
Pre-training layer 2, epoch 49, cost -57.9392629623
Pre-training layer 2, epoch 50, cost -58.0257149696
Pre-training layer 2, epoch 50, representative training free energy 223105.225242
Pre-training layer 2, epoch 50, validation free energy 221939.4065
Pre-training layer 2, epoch 51, cost -57.9337036705
Pre-training layer 2, epoch 52, cost -57.7027148056
Pre-training layer 2, epoch 53, cost -57.8028462601
Pre-training layer 2, epoch 54, cost -57.7697977638
Pre-training layer 2, epoch 55, cost -57.5518817711
Pre-training layer 2, epoch 55, representative training free energy 230086.883312
Pre-training layer 2, epoch 55, validation free energy 228851.019328
Pre-training layer 2, epoch 56, cost -57.505995636
Pre-training layer 2, epoch 57, cost -57.5100417709
Pre-training layer 2, epoch 58, cost -57.4903696251
Pre-training layer 2, epoch 59, cost -57.4175550079
Pre-training layer 2, epoch 60, cost -57.284609375
Pre-training layer 2, epoch 60, representative training free energy 236540.953742
Pre-training layer 2, epoch 60, validation free energy 235250.338969
Pre-training layer 2, epoch 61, cost -57.2451108551
Pre-training layer 2, epoch 62, cost -57.1204621315
Pre-training layer 2, epoch 63, cost -57.1656309319
Pre-training layer 2, epoch 64, cost -57.0984088135
Pre-training layer 2, epoch 65, cost -57.0941999626
Pre-training layer 2, epoch 65, representative training free energy 240654.370898
Pre-training layer 2, epoch 65, validation free energy 239336.188383
Pre-training layer 2, epoch 66, cost -56.9333259583
Pre-training layer 2, epoch 67, cost -56.9365559387
Pre-training layer 2, epoch 68, cost -56.8663204956
Pre-training layer 2, epoch 69, cost -56.8394075584
Pre-training layer 2, epoch 70, cost -56.8485006142
Pre-training layer 2, epoch 70, representative training free energy 247552.187336
Pre-training layer 2, epoch 70, validation free energy 246167.204375
Pre-training layer 2, epoch 71, cost -56.7236576653
Pre-training layer 2, epoch 72, cost -56.7980242729
Pre-training layer 2, epoch 73, cost -56.6739241028
Pre-training layer 2, epoch 74, cost -56.5449545479
Pre-training layer 2, epoch 75, cost -56.4818659973
Pre-training layer 2, epoch 75, representative training free energy 251942.559563
Pre-training layer 2, epoch 75, validation free energy 250531.111844
Pre-training layer 2, epoch 76, cost -56.5081864929
Pre-training layer 2, epoch 77, cost -56.4409308243
Pre-training layer 2, epoch 78, cost -56.3685549355
Pre-training layer 2, epoch 79, cost -56.4250022316
Pre-training layer 2, epoch 80, cost -56.3310164642
Pre-training layer 2, epoch 80, representative training free energy 256779.78218
Pre-training layer 2, epoch 80, validation free energy 255317.647508
Pre-training layer 2, epoch 81, cost -56.3216456985
Pre-training layer 2, epoch 82, cost -56.2231956291
Pre-training layer 2, epoch 83, cost -56.2951148415
Pre-training layer 2, epoch 84, cost -56.1703575516
Pre-training layer 2, epoch 85, cost -56.1686260033
Pre-training layer 2, epoch 85, representative training free energy 261340.976656
Pre-training layer 2, epoch 85, validation free energy 259830.890414
Pre-training layer 2, epoch 86, cost -56.1396359062
Pre-training layer 2, epoch 87, cost -56.0606742477
Pre-training layer 2, epoch 88, cost -55.9963806152
Pre-training layer 2, epoch 89, cost -56.1203532219
Pre-training layer 2, epoch 90, cost -55.9796815491
Pre-training layer 2, epoch 90, representative training free energy 266603.061945
Pre-training layer 2, epoch 90, validation free energy 265082.617539
Pre-training layer 2, epoch 91, cost -55.8964299774
Pre-training layer 2, epoch 92, cost -55.9214266777
Pre-training layer 2, epoch 93, cost -55.8577301216
Pre-training layer 2, epoch 94, cost -55.7817485428
Pre-training layer 2, epoch 95, cost -55.8105594826
Pre-training layer 2, epoch 95, representative training free energy 269765.023687
Pre-training layer 2, epoch 95, validation free energy 268176.42318
Pre-training layer 2, epoch 96, cost -55.8375915527
Pre-training layer 2, epoch 97, cost -55.7747043228
Pre-training layer 2, epoch 98, cost -55.7398246574
Pre-training layer 2, epoch 99, cost -55.6886833763
The pretraining code for file dbn_loop.pyc ran for 1.96m... getting the finetuning functions... finetuning the model
epoch 1, minibatch 200/200, validation error 13.000000 %
     epoch 1, minibatch 200/200, test error of best model 13.000000 %
epoch 2, minibatch 200/200, validation error 10.200000 %
     epoch 2, minibatch 200/200, test error of best model 11.100000 %
epoch 3, minibatch 200/200, validation error 9.700000 %
     epoch 3, minibatch 200/200, test error of best model 9.600000 %
epoch 4, minibatch 200/200, validation error 9.400000 %
     epoch 4, minibatch 200/200, test error of best model 9.000000 %
epoch 5, minibatch 200/200, validation error 8.900000 %
     epoch 5, minibatch 200/200, test error of best model 9.000000 %
epoch 6, minibatch 200/200, validation error 8.500000 %
     epoch 6, minibatch 200/200, test error of best model 8.700000 %
epoch 7, minibatch 200/200, validation error 8.400000 %
     epoch 7, minibatch 200/200, test error of best model 8.300000 %
epoch 8, minibatch 200/200, validation error 8.400000 %
epoch 9, minibatch 200/200, validation error 8.300000 %
     epoch 9, minibatch 200/200, test error of best model 8.300000 %
epoch 10, minibatch 200/200, validation error 8.400000 %
epoch 11, minibatch 200/200, validation error 8.200000 %
     epoch 11, minibatch 200/200, test error of best model 8.100000 %
epoch 12, minibatch 200/200, validation error 8.200000 %
epoch 13, minibatch 200/200, validation error 8.100000 %
     epoch 13, minibatch 200/200, test error of best model 7.900000 %
epoch 14, minibatch 200/200, validation error 8.100000 %
epoch 15, minibatch 200/200, validation error 8.100000 %
epoch 16, minibatch 200/200, validation error 8.000000 %
     epoch 16, minibatch 200/200, test error of best model 7.700000 %
epoch 17, minibatch 200/200, validation error 7.900000 %
     epoch 17, minibatch 200/200, test error of best model 7.400000 %
epoch 18, minibatch 200/200, validation error 7.900000 %
epoch 19, minibatch 200/200, validation error 7.900000 %
epoch 20, minibatch 200/200, validation error 7.800000 %
     epoch 20, minibatch 200/200, test error of best model 7.500000 %
epoch 21, minibatch 200/200, validation error 7.500000 %
     epoch 21, minibatch 200/200, test error of best model 7.500000 %
epoch 22, minibatch 200/200, validation error 7.500000 %
epoch 23, minibatch 200/200, validation error 7.400000 %
     epoch 23, minibatch 200/200, test error of best model 7.500000 %
epoch 24, minibatch 200/200, validation error 7.400000 %
epoch 25, minibatch 200/200, validation error 7.300000 %
     epoch 25, minibatch 200/200, test error of best model 7.200000 %
epoch 26, minibatch 200/200, validation error 7.100000 %
     epoch 26, minibatch 200/200, test error of best model 7.200000 %
epoch 27, minibatch 200/200, validation error 7.100000 %
epoch 28, minibatch 200/200, validation error 7.200000 %
epoch 29, minibatch 200/200, validation error 7.200000 %
epoch 30, minibatch 200/200, validation error 7.100000 %
epoch 31, minibatch 200/200, validation error 7.200000 %
epoch 32, minibatch 200/200, validation error 7.300000 %
epoch 33, minibatch 200/200, validation error 7.300000 %
epoch 34, minibatch 200/200, validation error 7.300000 %
epoch 35, minibatch 200/200, validation error 7.300000 %
epoch 36, minibatch 200/200, validation error 7.300000 %
epoch 37, minibatch 200/200, validation error 7.300000 %
epoch 38, minibatch 200/200, validation error 7.300000 %
epoch 39, minibatch 200/200, validation error 7.200000 %
epoch 40, minibatch 200/200, validation error 7.200000 %
epoch 41, minibatch 200/200, validation error 7.200000 %
epoch 42, minibatch 200/200, validation error 7.200000 %
epoch 43, minibatch 200/200, validation error 7.200000 %
epoch 44, minibatch 200/200, validation error 7.200000 %
epoch 45, minibatch 200/200, validation error 7.200000 %
epoch 46, minibatch 200/200, validation error 7.200000 %
epoch 47, minibatch 200/200, validation error 7.200000 %
epoch 48, minibatch 200/200, validation error 7.200000 %
epoch 49, minibatch 200/200, validation error 7.200000 %
epoch 50, minibatch 200/200, validation error 7.200000 %
epoch 51, minibatch 200/200, validation error 7.100000 %
Optimization complete with best validation score of 7.100000 %, obtained at iteration 5200, with test performance 7.200000 %
The fine tuning code for file dbn_loop.pyc ran for 0.48m


==========Sample Size: (3000, 1000, 1000) ===========

... building the model
... getting the pretraining functions
... pre-training the model
Pre-training layer 0, epoch 0, cost -130.528983307
Pre-training layer 0, epoch 0, representative training free energy -251.652090958
Pre-training layer 0, epoch 0, validation free energy -248.02411647
Pre-training layer 0, epoch 1, cost -100.709079336
Pre-training layer 0, epoch 2, cost -94.3123030345
Pre-training layer 0, epoch 3, cost -90.4564096832
Pre-training layer 0, epoch 4, cost -87.8991817093
Pre-training layer 0, epoch 5, cost -86.01807429
Pre-training layer 0, epoch 5, representative training free energy -248.826741348
Pre-training layer 0, epoch 5, validation free energy -240.676932785
Pre-training layer 0, epoch 6, cost -84.4970806758
Pre-training layer 0, epoch 7, cost -83.29203818
Pre-training layer 0, epoch 8, cost -82.2273214213
Pre-training layer 0, epoch 9, cost -81.3566847483
Pre-training layer 0, epoch 10, cost -80.7032861328
Pre-training layer 0, epoch 10, representative training free energy -263.939633118
Pre-training layer 0, epoch 10, validation free energy -251.601898804
Pre-training layer 0, epoch 11, cost -79.9671060816
Pre-training layer 0, epoch 12, cost -79.4285245514
Pre-training layer 0, epoch 13, cost -78.7639351654
Pre-training layer 0, epoch 14, cost -78.3588289769
Pre-training layer 0, epoch 15, cost -78.0269724274
Pre-training layer 0, epoch 15, representative training free energy -262.672141968
Pre-training layer 0, epoch 15, validation free energy -250.088749359
Pre-training layer 0, epoch 16, cost -77.5522681046
Pre-training layer 0, epoch 17, cost -77.2152421824
Pre-training layer 0, epoch 18, cost -76.6772860972
Pre-training layer 0, epoch 19, cost -76.507434934
Pre-training layer 0, epoch 20, cost -76.129649175
Pre-training layer 0, epoch 20, representative training free energy -262.486383347
Pre-training layer 0, epoch 20, validation free energy -248.777112961
Pre-training layer 0, epoch 21, cost -75.7986392848
Pre-training layer 0, epoch 22, cost -75.7730386988
Pre-training layer 0, epoch 23, cost -75.3940168126
Pre-training layer 0, epoch 24, cost -75.1897162882
Pre-training layer 0, epoch 25, cost -74.9559432602
Pre-training layer 0, epoch 25, representative training free energy -262.413162445
Pre-training layer 0, epoch 25, validation free energy -246.818401993
Pre-training layer 0, epoch 26, cost -74.6244573466
Pre-training layer 0, epoch 27, cost -74.5490465418
Pre-training layer 0, epoch 28, cost -74.3140587234
Pre-training layer 0, epoch 29, cost -74.120525767
Pre-training layer 0, epoch 30, cost -73.8670513789
Pre-training layer 0, epoch 30, representative training free energy -263.835207581
Pre-training layer 0, epoch 30, validation free energy -249.262730148
Pre-training layer 0, epoch 31, cost -73.8360361354
Pre-training layer 0, epoch 32, cost -73.6592267354
Pre-training layer 0, epoch 33, cost -73.4990995026
Pre-training layer 0, epoch 34, cost -73.3022417959
Pre-training layer 0, epoch 35, cost -72.9576273727
Pre-training layer 0, epoch 35, representative training free energy -265.475920059
Pre-training layer 0, epoch 35, validation free energy -249.338250443
Pre-training layer 0, epoch 36, cost -72.9690068944
Pre-training layer 0, epoch 37, cost -72.84429643
Pre-training layer 0, epoch 38, cost -72.7701278814
Pre-training layer 0, epoch 39, cost -72.6161612574
Pre-training layer 0, epoch 40, cost -72.4276314672
Pre-training layer 0, epoch 40, representative training free energy -263.078214767
Pre-training layer 0, epoch 40, validation free energy -245.147800735
Pre-training layer 0, epoch 41, cost -72.2522563934
Pre-training layer 0, epoch 42, cost -72.1074430847
Pre-training layer 0, epoch 43, cost -72.2250050354
Pre-training layer 0, epoch 44, cost -71.9736344147
Pre-training layer 0, epoch 45, cost -71.6867633692
Pre-training layer 0, epoch 45, representative training free energy -262.238579865
Pre-training layer 0, epoch 45, validation free energy -244.895805908
Pre-training layer 0, epoch 46, cost -71.8312360001
Pre-training layer 0, epoch 47, cost -71.7099366252
Pre-training layer 0, epoch 48, cost -71.4973463186
Pre-training layer 0, epoch 49, cost -71.5332281621
Pre-training layer 0, epoch 50, cost -71.3036642838
Pre-training layer 0, epoch 50, representative training free energy -259.944772018
Pre-training layer 0, epoch 50, validation free energy -242.859499878
Pre-training layer 0, epoch 51, cost -71.1817765935
Pre-training layer 0, epoch 52, cost -71.2241314824
Pre-training layer 0, epoch 53, cost -71.1050691859
Pre-training layer 0, epoch 54, cost -70.9682896678
Pre-training layer 0, epoch 55, cost -70.9400629044
Pre-training layer 0, epoch 55, representative training free energy -261.256723495
Pre-training layer 0, epoch 55, validation free energy -242.709138489
Pre-training layer 0, epoch 56, cost -70.8469595464
Pre-training layer 0, epoch 57, cost -70.6146554565
Pre-training layer 0, epoch 58, cost -70.6480209986
Pre-training layer 0, epoch 59, cost -70.559218839
Pre-training layer 0, epoch 60, cost -70.4439742025
Pre-training layer 0, epoch 60, representative training free energy -258.621092484
Pre-training layer 0, epoch 60, validation free energy -240.197123718
Pre-training layer 0, epoch 61, cost -70.373118782
Pre-training layer 0, epoch 62, cost -70.3472598648
Pre-training layer 0, epoch 63, cost -70.2921505737
Pre-training layer 0, epoch 64, cost -70.1651136653
Pre-training layer 0, epoch 65, cost -70.2440380096
Pre-training layer 0, epoch 65, representative training free energy -259.652513306
Pre-training layer 0, epoch 65, validation free energy -239.760433792
Pre-training layer 0, epoch 66, cost -70.0974959819
Pre-training layer 0, epoch 67, cost -69.9939458974
Pre-training layer 0, epoch 68, cost -70.0194856135
Pre-training layer 0, epoch 69, cost -69.8926486715
Pre-training layer 0, epoch 70, cost -69.7914181646
Pre-training layer 0, epoch 70, representative training free energy -255.197705994
Pre-training layer 0, epoch 70, validation free energy -235.137180214
Pre-training layer 0, epoch 71, cost -69.8376277669
Pre-training layer 0, epoch 72, cost -69.6744667053
Pre-training layer 0, epoch 73, cost -69.6450839488
Pre-training layer 0, epoch 74, cost -69.4476768239
Pre-training layer 0, epoch 75, cost -69.4862790044
Pre-training layer 0, epoch 75, representative training free energy -251.984041763
Pre-training layer 0, epoch 75, validation free energy -232.526690964
Pre-training layer 0, epoch 76, cost -69.4238744863
Pre-training layer 0, epoch 77, cost -69.3387795893
Pre-training layer 0, epoch 78, cost -69.3933606847
Pre-training layer 0, epoch 79, cost -69.2681674703
Pre-training layer 0, epoch 80, cost -69.1597432582
Pre-training layer 0, epoch 80, representative training free energy -255.978494263
Pre-training layer 0, epoch 80, validation free energy -235.267638214
Pre-training layer 0, epoch 81, cost -69.1843490601
Pre-training layer 0, epoch 82, cost -68.9987610626
Pre-training layer 0, epoch 83, cost -69.1144536591
Pre-training layer 0, epoch 84, cost -68.899291242
Pre-training layer 0, epoch 85, cost -68.9153930664
Pre-training layer 0, epoch 85, representative training free energy -252.365230484
Pre-training layer 0, epoch 85, validation free energy -230.800036934
Pre-training layer 0, epoch 86, cost -68.8200628153
Pre-training layer 0, epoch 87, cost -68.8236649831
Pre-training layer 0, epoch 88, cost -68.7597758865
Pre-training layer 0, epoch 89, cost -68.7454551188
Pre-training layer 0, epoch 90, cost -68.6131627274
Pre-training layer 0, epoch 90, representative training free energy -255.845477051
Pre-training layer 0, epoch 90, validation free energy -234.525911285
Pre-training layer 0, epoch 91, cost -68.6972581355
Pre-training layer 0, epoch 92, cost -68.522182579
Pre-training layer 0, epoch 93, cost -68.5658679454
Pre-training layer 0, epoch 94, cost -68.5707304891
Pre-training layer 0, epoch 95, cost -68.4673847198
Pre-training layer 0, epoch 95, representative training free energy -249.225675827
Pre-training layer 0, epoch 95, validation free energy -229.569645531
Pre-training layer 0, epoch 96, cost -68.2983848699
Pre-training layer 0, epoch 97, cost -68.2169909159
Pre-training layer 0, epoch 98, cost -68.3102736918
Pre-training layer 0, epoch 99, cost -68.2502121989
Pre-training layer 1, epoch 0, cost -133.963229701
Pre-training layer 1, epoch 0, representative training free energy -287485.699
Pre-training layer 1, epoch 0, validation free energy -285252.060578
Pre-training layer 1, epoch 1, cost -104.275145734
Pre-training layer 1, epoch 2, cost -96.6523721186
Pre-training layer 1, epoch 3, cost -92.1749412664
Pre-training layer 1, epoch 4, cost -89.1320700455
Pre-training layer 1, epoch 5, cost -86.958880221
Pre-training layer 1, epoch 5, representative training free energy -368435.434195
Pre-training layer 1, epoch 5, validation free energy -365482.130781
Pre-training layer 1, epoch 6, cost -85.2557085164
Pre-training layer 1, epoch 7, cost -83.7700359599
Pre-training layer 1, epoch 8, cost -82.6218837611
Pre-training layer 1, epoch 9, cost -81.5705099487
Pre-training layer 1, epoch 10, cost -80.7209691366
Pre-training layer 1, epoch 10, representative training free energy -406771.664719
Pre-training layer 1, epoch 10, validation free energy -403367.778469
Pre-training layer 1, epoch 11, cost -80.0052627945
Pre-training layer 1, epoch 12, cost -79.3251745733
Pre-training layer 1, epoch 13, cost -78.7149696986
Pre-training layer 1, epoch 14, cost -78.0793361155
Pre-training layer 1, epoch 15, cost -77.6433808899
Pre-training layer 1, epoch 15, representative training free energy -434791.831078
Pre-training layer 1, epoch 15, validation free energy -431180.726109
Pre-training layer 1, epoch 16, cost -77.3642284266
Pre-training layer 1, epoch 17, cost -76.8313308462
Pre-training layer 1, epoch 18, cost -76.2719307454
Pre-training layer 1, epoch 19, cost -76.0362991206
Pre-training layer 1, epoch 20, cost -75.8381632106
Pre-training layer 1, epoch 20, representative training free energy -455998.453609
Pre-training layer 1, epoch 20, validation free energy -452353.555844
Pre-training layer 1, epoch 21, cost -75.5127975972
Pre-training layer 1, epoch 22, cost -75.184774526
Pre-training layer 1, epoch 23, cost -75.0308706029
Pre-training layer 1, epoch 24, cost -74.6443004608
Pre-training layer 1, epoch 25, cost -74.4774270503
Pre-training layer 1, epoch 25, representative training free energy -472756.652734
Pre-training layer 1, epoch 25, validation free energy -468961.564656
Pre-training layer 1, epoch 26, cost -74.0489911524
Pre-training layer 1, epoch 27, cost -73.9617938105
Pre-training layer 1, epoch 28, cost -73.6590005239
Pre-training layer 1, epoch 29, cost -73.3993172836
Pre-training layer 1, epoch 30, cost -73.2987094879
Pre-training layer 1, epoch 30, representative training free energy -487879.494406
Pre-training layer 1, epoch 30, validation free energy -484031.992172
Pre-training layer 1, epoch 31, cost -73.2224408722
Pre-training layer 1, epoch 32, cost -73.0320192719
Pre-training layer 1, epoch 33, cost -72.8920892715
Pre-training layer 1, epoch 34, cost -72.7582552083
Pre-training layer 1, epoch 35, cost -72.676884435
Pre-training layer 1, epoch 35, representative training free energy -500970.415547
Pre-training layer 1, epoch 35, validation free energy -496966.869766
Pre-training layer 1, epoch 36, cost -72.4707042694
Pre-training layer 1, epoch 37, cost -72.3062235387
Pre-training layer 1, epoch 38, cost -72.2960462189
Pre-training layer 1, epoch 39, cost -71.9762321345
Pre-training layer 1, epoch 40, cost -71.9429395294
Pre-training layer 1, epoch 40, representative training free energy -512606.356078
Pre-training layer 1, epoch 40, validation free energy -508535.941281
Pre-training layer 1, epoch 41, cost -71.8606863912
Pre-training layer 1, epoch 42, cost -71.7127957916
Pre-training layer 1, epoch 43, cost -71.591845487
Pre-training layer 1, epoch 44, cost -71.4813431295
Pre-training layer 1, epoch 45, cost -71.3834631729
Pre-training layer 1, epoch 45, representative training free energy -523328.474109
Pre-training layer 1, epoch 45, validation free energy -519214.228156
Pre-training layer 1, epoch 46, cost -71.2667812729
Pre-training layer 1, epoch 47, cost -71.2670094808
Pre-training layer 1, epoch 48, cost -71.1711950429
Pre-training layer 1, epoch 49, cost -71.100286293
Pre-training layer 1, epoch 50, cost -70.8593331655
Pre-training layer 1, epoch 50, representative training free energy -532616.743078
Pre-training layer 1, epoch 50, validation free energy -528357.164578
Pre-training layer 1, epoch 51, cost -70.809899381
Pre-training layer 1, epoch 52, cost -70.7060775503
Pre-training layer 1, epoch 53, cost -70.6467988332
Pre-training layer 1, epoch 54, cost -70.5517059326
Pre-training layer 1, epoch 55, cost -70.4670160294
Pre-training layer 1, epoch 55, representative training free energy -541961.669344
Pre-training layer 1, epoch 55, validation free energy -537665.774531
Pre-training layer 1, epoch 56, cost -70.453772227
Pre-training layer 1, epoch 57, cost -70.4668611272
Pre-training layer 1, epoch 58, cost -70.403546346
Pre-training layer 1, epoch 59, cost -70.2414717738
Pre-training layer 1, epoch 60, cost -70.1330902735
Pre-training layer 1, epoch 60, representative training free energy -549998.325781
Pre-training layer 1, epoch 60, validation free energy -545621.785641
Pre-training layer 1, epoch 61, cost -70.1471932983
Pre-training layer 1, epoch 62, cost -70.0370864995
Pre-training layer 1, epoch 63, cost -70.0640771739
Pre-training layer 1, epoch 64, cost -70.0032354991
Pre-training layer 1, epoch 65, cost -69.8571871821
Pre-training layer 1, epoch 65, representative training free energy -558176.617078
Pre-training layer 1, epoch 65, validation free energy -553687.113828
Pre-training layer 1, epoch 66, cost -69.9591378657
Pre-training layer 1, epoch 67, cost -69.7308765411
Pre-training layer 1, epoch 68, cost -69.7391429392
Pre-training layer 1, epoch 69, cost -69.6969243368
Pre-training layer 1, epoch 70, cost -69.6341686376
Pre-training layer 1, epoch 70, representative training free energy -564880.641359
Pre-training layer 1, epoch 70, validation free energy -560404.294922
Pre-training layer 1, epoch 71, cost -69.6261366399
Pre-training layer 1, epoch 72, cost -69.5151797994
Pre-training layer 1, epoch 73, cost -69.3810127449
Pre-training layer 1, epoch 74, cost -69.4880383555
Pre-training layer 1, epoch 75, cost -69.4171747843
Pre-training layer 1, epoch 75, representative training free energy -571703.409016
Pre-training layer 1, epoch 75, validation free energy -567157.35225
Pre-training layer 1, epoch 76, cost -69.3566640981
Pre-training layer 1, epoch 77, cost -69.3026876068
Pre-training layer 1, epoch 78, cost -69.204885966
Pre-training layer 1, epoch 79, cost -69.2001665624
Pre-training layer 1, epoch 80, cost -69.1790190633
Pre-training layer 1, epoch 80, representative training free energy -577566.586984
Pre-training layer 1, epoch 80, validation free energy -572945.265141
Pre-training layer 1, epoch 81, cost -69.1072902934
Pre-training layer 1, epoch 82, cost -69.1117456373
Pre-training layer 1, epoch 83, cost -69.0705449613
Pre-training layer 1, epoch 84, cost -68.9719161797
Pre-training layer 1, epoch 85, cost -68.9472249476
Pre-training layer 1, epoch 85, representative training free energy -583525.285578
Pre-training layer 1, epoch 85, validation free energy -578900.234359
Pre-training layer 1, epoch 86, cost -68.930096906
Pre-training layer 1, epoch 87, cost -68.8433618418
Pre-training layer 1, epoch 88, cost -68.8388281186
Pre-training layer 1, epoch 89, cost -68.8082874044
Pre-training layer 1, epoch 90, cost -68.8130194791
Pre-training layer 1, epoch 90, representative training free energy -589191.547859
Pre-training layer 1, epoch 90, validation free energy -584584.266844
Pre-training layer 1, epoch 91, cost -68.8171260325
Pre-training layer 1, epoch 92, cost -68.7036355591
Pre-training layer 1, epoch 93, cost -68.6993737793
Pre-training layer 1, epoch 94, cost -68.6203392982
Pre-training layer 1, epoch 95, cost -68.6190567907
Pre-training layer 1, epoch 95, representative training free energy -594324.498937
Pre-training layer 1, epoch 95, validation free energy -589614.577094
Pre-training layer 1, epoch 96, cost -68.527176075
Pre-training layer 1, epoch 97, cost -68.5549239222
Pre-training layer 1, epoch 98, cost -68.4957123693
Pre-training layer 1, epoch 99, cost -68.4897747866
Pre-training layer 2, epoch 0, cost -104.321977208
Pre-training layer 2, epoch 0, representative training free energy 25050.0607949
Pre-training layer 2, epoch 0, validation free energy 24737.4803223
Pre-training layer 2, epoch 1, cost -75.2417166138
Pre-training layer 2, epoch 2, cost -69.2792724355
Pre-training layer 2, epoch 3, cost -65.9639835103
Pre-training layer 2, epoch 4, cost -63.8511172358
Pre-training layer 2, epoch 5, cost -62.2051029841
Pre-training layer 2, epoch 5, representative training free energy 83956.3007012
Pre-training layer 2, epoch 5, validation free energy 83229.9260117
Pre-training layer 2, epoch 6, cost -61.0784922155
Pre-training layer 2, epoch 7, cost -60.1207284037
Pre-training layer 2, epoch 8, cost -59.3402442932
Pre-training layer 2, epoch 9, cost -58.5666395187
Pre-training layer 2, epoch 10, cost -57.9078309759
Pre-training layer 2, epoch 10, representative training free energy 117105.444684
Pre-training layer 2, epoch 10, validation free energy 116148.595434
Pre-training layer 2, epoch 11, cost -57.5568649928
Pre-training layer 2, epoch 12, cost -57.057357076
Pre-training layer 2, epoch 13, cost -56.5144857915
Pre-training layer 2, epoch 14, cost -56.2109135691
Pre-training layer 2, epoch 15, cost -56.0342285029
Pre-training layer 2, epoch 15, representative training free energy 141833.811465
Pre-training layer 2, epoch 15, validation free energy 140723.631223
Pre-training layer 2, epoch 16, cost -55.5006657918
Pre-training layer 2, epoch 17, cost -55.2991218313
Pre-training layer 2, epoch 18, cost -54.930823733
Pre-training layer 2, epoch 19, cost -54.7217572149
Pre-training layer 2, epoch 20, cost -54.4963985189
Pre-training layer 2, epoch 20, representative training free energy 158549.133113
Pre-training layer 2, epoch 20, validation free energy 157325.025004
Pre-training layer 2, epoch 21, cost -54.3082447688
Pre-training layer 2, epoch 22, cost -54.2036007309
Pre-training layer 2, epoch 23, cost -53.8227506256
Pre-training layer 2, epoch 24, cost -53.7385681407
Pre-training layer 2, epoch 25, cost -53.5956494395
Pre-training layer 2, epoch 25, representative training free energy 172181.6135
Pre-training layer 2, epoch 25, validation free energy 170899.844344
Pre-training layer 2, epoch 26, cost -53.3607734553
Pre-training layer 2, epoch 27, cost -53.2785527674
Pre-training layer 2, epoch 28, cost -53.2288386536
Pre-training layer 2, epoch 29, cost -52.9668463898
Pre-training layer 2, epoch 30, cost -52.859576149
Pre-training layer 2, epoch 30, representative training free energy 184016.769285
Pre-training layer 2, epoch 30, validation free energy 182588.390809
Pre-training layer 2, epoch 31, cost -52.808363711
Pre-training layer 2, epoch 32, cost -52.6899024582
Pre-training layer 2, epoch 33, cost -52.5439752833
Pre-training layer 2, epoch 34, cost -52.3095758057
Pre-training layer 2, epoch 35, cost -52.3078195953
Pre-training layer 2, epoch 35, representative training free energy 194442.23091
Pre-training layer 2, epoch 35, validation free energy 193011.092023
Pre-training layer 2, epoch 36, cost -52.0972903315
Pre-training layer 2, epoch 37, cost -52.1263676135
Pre-training layer 2, epoch 38, cost -51.9339476395
Pre-training layer 2, epoch 39, cost -51.9669893138
Pre-training layer 2, epoch 40, cost -51.7497812525
Pre-training layer 2, epoch 40, representative training free energy 202132.049621
Pre-training layer 2, epoch 40, validation free energy 200680.465086
Pre-training layer 2, epoch 41, cost -51.6777821732
Pre-training layer 2, epoch 42, cost -51.6519897715
Pre-training layer 2, epoch 43, cost -51.6297353363
Pre-training layer 2, epoch 44, cost -51.5175086339
Pre-training layer 2, epoch 45, cost -51.3310503006
Pre-training layer 2, epoch 45, representative training free energy 210215.390461
Pre-training layer 2, epoch 45, validation free energy 208690.220344
Pre-training layer 2, epoch 46, cost -51.3581213125
Pre-training layer 2, epoch 47, cost -51.3221420415
Pre-training layer 2, epoch 48, cost -51.2127282842
Pre-training layer 2, epoch 49, cost -51.0850155512
Pre-training layer 2, epoch 50, cost -51.103087794
Pre-training layer 2, epoch 50, representative training free energy 215875.153164
Pre-training layer 2, epoch 50, validation free energy 214283.078492
Pre-training layer 2, epoch 51, cost -51.1676719666
Pre-training layer 2, epoch 52, cost -50.955639979
Pre-training layer 2, epoch 53, cost -50.9623323949
Pre-training layer 2, epoch 54, cost -50.7773176956
Pre-training layer 2, epoch 55, cost -50.7921282323
Pre-training layer 2, epoch 55, representative training free energy 221935.734094
