_______RUN: 0

==========Hidden Layer: [500, 500, 2000] ===========
Pre-training layer 0, epoch 62, cost -75.7350340652
Pre-training layer 0, epoch 63, cost -75.7783933735
Pre-training layer 0, epoch 64, cost -75.7193586159
Pre-training layer 0, epoch 65, cost -75.564257412
Pre-training layer 0, epoch 65, representative training free energy -362.499461823
Pre-training layer 0, epoch 65, validation free energy -354.331574509
Pre-training layer 0, epoch 66, cost -75.4625298405
Pre-training layer 0, epoch 67, cost -75.4677776718
Pre-training layer 0, epoch 68, cost -75.4312964439
Pre-training layer 0, epoch 69, cost -75.155361557
Pre-training layer 0, epoch 70, cost -75.0407308197
Pre-training layer 0, epoch 70, representative training free energy -362.814044434
Pre-training layer 0, epoch 70, validation free energy -354.176695877
Pre-training layer 0, epoch 71, cost -75.0378273964
Pre-training layer 0, epoch 72, cost -74.9706322193
Pre-training layer 0, epoch 73, cost -75.0802844334
Pre-training layer 0, epoch 74, cost -74.8309654999
Pre-training layer 0, epoch 75, cost -74.8119677258
Pre-training layer 0, epoch 75, representative training free energy -364.235756653
Pre-training layer 0, epoch 75, validation free energy -355.454740387
Pre-training layer 0, epoch 76, cost -74.6875251675
Pre-training layer 0, epoch 77, cost -74.6851461411
Pre-training layer 0, epoch 78, cost -74.4577504063
Pre-training layer 0, epoch 79, cost -74.4669006062
Pre-training layer 0, epoch 80, cost -74.3382510948
Pre-training layer 0, epoch 80, representative training free energy -367.535956329
Pre-training layer 0, epoch 80, validation free energy -358.090261368
Pre-training layer 0, epoch 81, cost -74.3594763756
Pre-training layer 0, epoch 82, cost -74.2945863533
Pre-training layer 0, epoch 83, cost -74.1292917252
Pre-training layer 0, epoch 84, cost -74.1077077007
Pre-training layer 0, epoch 85, cost -74.0443877506
Pre-training layer 0, epoch 85, representative training free energy -369.571530365
Pre-training layer 0, epoch 85, validation free energy -361.688952423
Pre-training layer 0, epoch 86, cost -74.0696711159
Pre-training layer 0, epoch 87, cost -74.0766451645
Pre-training layer 0, epoch 88, cost -73.9557509708
Pre-training layer 0, epoch 89, cost -73.9501800442
Pre-training layer 0, epoch 90, cost -73.726883049
Pre-training layer 0, epoch 90, representative training free energy -369.585132446
Pre-training layer 0, epoch 90, validation free energy -360.731652802
Pre-training layer 0, epoch 91, cost -73.7846957302
Pre-training layer 0, epoch 92, cost -73.6353792477
Pre-training layer 0, epoch 93, cost -73.7626263618
Pre-training layer 0, epoch 94, cost -73.5495436192
Pre-training layer 0, epoch 95, cost -73.4716840458
Pre-training layer 0, epoch 95, representative training free energy -373.497687103
Pre-training layer 0, epoch 95, validation free energy -364.090157318
Pre-training layer 0, epoch 96, cost -73.4081455612
Pre-training layer 0, epoch 97, cost -73.4665311241
Pre-training layer 0, epoch 98, cost -73.3734817505
Pre-training layer 0, epoch 99, cost -73.309615202
Pre-training layer 1, epoch 0, cost -203.479892654
Pre-training layer 1, epoch 0, representative training free energy -21728.5275991
Pre-training layer 1, epoch 0, validation free energy -21551.4460376
Pre-training layer 1, epoch 1, cost -172.784952374
Pre-training layer 1, epoch 2, cost -162.837342052
Pre-training layer 1, epoch 3, cost -156.771465473
Pre-training layer 1, epoch 4, cost -152.530350056
Pre-training layer 1, epoch 5, cost -149.315391273
Pre-training layer 1, epoch 5, representative training free energy -29581.9615859
Pre-training layer 1, epoch 5, validation free energy -29288.3626113
Pre-training layer 1, epoch 6, cost -146.869544125
Pre-training layer 1, epoch 7, cost -144.821620865
Pre-training layer 1, epoch 8, cost -143.12535717
Pre-training layer 1, epoch 9, cost -141.656322536
Pre-training layer 1, epoch 10, cost -140.368142681
Pre-training layer 1, epoch 10, representative training free energy -32490.6652393
Pre-training layer 1, epoch 10, validation free energy -32157.3565605
Pre-training layer 1, epoch 11, cost -139.295225143
Pre-training layer 1, epoch 12, cost -138.486442604
Pre-training layer 1, epoch 13, cost -137.467778282
Pre-training layer 1, epoch 14, cost -136.752880459
Pre-training layer 1, epoch 15, cost -136.024614086
Pre-training layer 1, epoch 15, representative training free energy -34307.1655459
Pre-training layer 1, epoch 15, validation free energy -33947.5893984
Pre-training layer 1, epoch 16, cost -135.371646214
Pre-training layer 1, epoch 17, cost -134.75768959
Pre-training layer 1, epoch 18, cost -134.331582584
Pre-training layer 1, epoch 19, cost -133.764677505
Pre-training layer 1, epoch 20, cost -133.269068413
Pre-training layer 1, epoch 20, representative training free energy -35740.7732988
Pre-training layer 1, epoch 20, validation free energy -35349.7008193
Pre-training layer 1, epoch 21, cost -132.740032806
Pre-training layer 1, epoch 22, cost -132.400156136
Pre-training layer 1, epoch 23, cost -132.111056976
Pre-training layer 1, epoch 24, cost -131.724522629
Pre-training layer 1, epoch 25, cost -131.38586462
Pre-training layer 1, epoch 25, representative training free energy -36836.4608193
Pre-training layer 1, epoch 25, validation free energy -36439.2017158
Pre-training layer 1, epoch 26, cost -130.957754059
Pre-training layer 1, epoch 27, cost -130.68088522
Pre-training layer 1, epoch 28, cost -130.415608807
Pre-training layer 1, epoch 29, cost -130.227969418
Pre-training layer 1, epoch 30, cost -129.920168629
Pre-training layer 1, epoch 30, representative training free energy -37833.111377
Pre-training layer 1, epoch 30, validation free energy -37427.0188477
Pre-training layer 1, epoch 31, cost -129.68871397
Pre-training layer 1, epoch 32, cost -129.491520557
Pre-training layer 1, epoch 33, cost -129.278460922
Pre-training layer 1, epoch 34, cost -129.012959805
Pre-training layer 1, epoch 35, cost -128.754132595
Pre-training layer 1, epoch 35, representative training free energy -38545.8047676
Pre-training layer 1, epoch 35, validation free energy -38128.7473486
Pre-training layer 1, epoch 36, cost -128.623699684
Pre-training layer 1, epoch 37, cost -128.539565639
Pre-training layer 1, epoch 38, cost -128.212423382
Pre-training layer 1, epoch 39, cost -128.028784256
Pre-training layer 1, epoch 40, cost -127.93517168
Pre-training layer 1, epoch 40, representative training free energy -39293.1724668
Pre-training layer 1, epoch 40, validation free energy -38861.5681436
Pre-training layer 1, epoch 41, cost -127.673713551
Pre-training layer 1, epoch 42, cost -127.603996372
Pre-training layer 1, epoch 43, cost -127.381124763
Pre-training layer 1, epoch 44, cost -127.339179878
Pre-training layer 1, epoch 45, cost -127.144159546
Pre-training layer 1, epoch 45, representative training free energy -39874.2946514
Pre-training layer 1, epoch 45, validation free energy -39433.9641182
Pre-training layer 1, epoch 46, cost -127.038427792
Pre-training layer 1, epoch 47, cost -126.931027336
Pre-training layer 1, epoch 48, cost -126.760815392
Pre-training layer 1, epoch 49, cost -126.612488327
Pre-training layer 1, epoch 50, cost -126.526715031
Pre-training layer 1, epoch 50, representative training free energy -40449.1839756
Pre-training layer 1, epoch 50, validation free energy -39992.1273721
Pre-training layer 1, epoch 51, cost -126.409532375
Pre-training layer 1, epoch 52, cost -126.290740376
Pre-training layer 1, epoch 53, cost -126.165956631
Pre-training layer 1, epoch 54, cost -126.09099741
Pre-training layer 1, epoch 55, cost -125.926612244
Pre-training layer 1, epoch 55, representative training free energy -40932.0778887
Pre-training layer 1, epoch 55, validation free energy -40481.0261299
Pre-training layer 1, epoch 56, cost -125.842275028
Pre-training layer 1, epoch 57, cost -125.807839146
Pre-training layer 1, epoch 58, cost -125.76459959
Pre-training layer 1, epoch 59, cost -125.572417393
Pre-training layer 1, epoch 60, cost -125.466992817
Pre-training layer 1, epoch 60, representative training free energy -41364.5566133
Pre-training layer 1, epoch 60, validation free energy -40906.6913838
Pre-training layer 1, epoch 61, cost -125.372007217
Pre-training layer 1, epoch 62, cost -125.292130718
Pre-training layer 1, epoch 63, cost -125.161908035
Pre-training layer 1, epoch 64, cost -125.115442429
Pre-training layer 1, epoch 65, cost -124.993986053
Pre-training layer 1, epoch 65, representative training free energy -41778.080876
Pre-training layer 1, epoch 65, validation free energy -41305.5038271
Pre-training layer 1, epoch 66, cost -124.927438812
Pre-training layer 1, epoch 67, cost -124.841183491
Pre-training layer 1, epoch 68, cost -124.824633369
Pre-training layer 1, epoch 69, cost -124.754962063
Pre-training layer 1, epoch 70, cost -124.635415497
Pre-training layer 1, epoch 70, representative training free energy -42267.4263701
Pre-training layer 1, epoch 70, validation free energy -41800.4753135
Pre-training layer 1, epoch 71, cost -124.561232224
Pre-training layer 1, epoch 72, cost -124.491677971
Pre-training layer 1, epoch 73, cost -124.423710155
Pre-training layer 1, epoch 74, cost -124.332584057
Pre-training layer 1, epoch 75, cost -124.350454502
Pre-training layer 1, epoch 75, representative training free energy -42643.3935596
Pre-training layer 1, epoch 75, validation free energy -42156.0101953
Pre-training layer 1, epoch 76, cost -124.220402718
Pre-training layer 1, epoch 77, cost -124.117131176
Pre-training layer 1, epoch 78, cost -124.077190914
Pre-training layer 1, epoch 79, cost -124.143981819
Pre-training layer 1, epoch 80, cost -123.946430779
Pre-training layer 1, epoch 80, representative training free energy -42940.3016953
Pre-training layer 1, epoch 80, validation free energy -42454.8555146
Pre-training layer 1, epoch 81, cost -123.849262753
Pre-training layer 1, epoch 82, cost -123.803711548
Pre-training layer 1, epoch 83, cost -123.763405972
Pre-training layer 1, epoch 84, cost -123.666553288
Pre-training layer 1, epoch 85, cost -123.701838741
Pre-training layer 1, epoch 85, representative training free energy -43267.6401201
Pre-training layer 1, epoch 85, validation free energy -42781.3996836
Pre-training layer 1, epoch 86, cost -123.503670387
Pre-training layer 1, epoch 87, cost -123.551255455
Pre-training layer 1, epoch 88, cost -123.556868076
Pre-training layer 1, epoch 89, cost -123.407914066
Pre-training layer 1, epoch 90, cost -123.379947605
Pre-training layer 1, epoch 90, representative training free energy -43513.005708
Pre-training layer 1, epoch 90, validation free energy -43019.3722305
Pre-training layer 1, epoch 91, cost -123.383873997
Pre-training layer 1, epoch 92, cost -123.281682453
Pre-training layer 1, epoch 93, cost -123.238307743
Pre-training layer 1, epoch 94, cost -123.169816532
Pre-training layer 1, epoch 95, cost -123.230739193
Pre-training layer 1, epoch 95, representative training free energy -43872.4706318
Pre-training layer 1, epoch 95, validation free energy -43377.4429043
Pre-training layer 1, epoch 96, cost -123.073677444
Pre-training layer 1, epoch 97, cost -123.12078619
Pre-training layer 1, epoch 98, cost -123.088397789
Pre-training layer 1, epoch 99, cost -122.908988285
Pre-training layer 2, epoch 0, cost -85.0825476837
Pre-training layer 2, epoch 0, representative training free energy -43653.2018525
Pre-training layer 2, epoch 0, validation free energy -42533.7807402
Pre-training layer 2, epoch 1, cost -69.614932766
Pre-training layer 2, epoch 2, cost -65.3704537773
Pre-training layer 2, epoch 3, cost -62.9345987511
Pre-training layer 2, epoch 4, cost -61.1298942757
Pre-training layer 2, epoch 5, cost -59.8792654324
Pre-training layer 2, epoch 5, representative training free energy -38622.0279922
Pre-training layer 2, epoch 5, validation free energy -38077.2552148
Pre-training layer 2, epoch 6, cost -58.7896504974
Pre-training layer 2, epoch 7, cost -57.6488765335
Pre-training layer 2, epoch 8, cost -56.9644206333
Pre-training layer 2, epoch 9, cost -56.3177069664
Pre-training layer 2, epoch 10, cost -55.5901211166
Pre-training layer 2, epoch 10, representative training free energy -29907.4559766
Pre-training layer 2, epoch 10, validation free energy -29650.3007998
Pre-training layer 2, epoch 11, cost -55.1850184441
Pre-training layer 2, epoch 12, cost -54.5878601837
Pre-training layer 2, epoch 13, cost -54.2798160458
Pre-training layer 2, epoch 14, cost -53.8124524689
Pre-training layer 2, epoch 15, cost -53.5704465485
Pre-training layer 2, epoch 15, representative training free energy -26123.4758682
Pre-training layer 2, epoch 15, validation free energy -25887.1134941
Pre-training layer 2, epoch 16, cost -53.2478966713
Pre-training layer 2, epoch 17, cost -52.9334648609
Pre-training layer 2, epoch 18, cost -52.7591317368
Pre-training layer 2, epoch 19, cost -52.4684221077
Pre-training layer 2, epoch 20, cost -52.2051039696
Pre-training layer 2, epoch 20, representative training free energy -23257.222355
Pre-training layer 2, epoch 20, validation free energy -23126.0871279
Pre-training layer 2, epoch 21, cost -52.0346757221
Pre-training layer 2, epoch 22, cost -51.8667725563
Pre-training layer 2, epoch 23, cost -51.5937742043
Pre-training layer 2, epoch 24, cost -51.418948822
Pre-training layer 2, epoch 25, cost -51.3041477966
Pre-training layer 2, epoch 25, representative training free energy -20527.4699531
Pre-training layer 2, epoch 25, validation free energy -20349.0314556
Pre-training layer 2, epoch 26, cost -51.2066662121
Pre-training layer 2, epoch 27, cost -51.0401971722
Pre-training layer 2, epoch 28, cost -51.0089530563
Pre-training layer 2, epoch 29, cost -50.8202680206
Pre-training layer 2, epoch 30, cost -50.7189857292
Pre-training layer 2, epoch 30, representative training free energy -18949.7271875
Pre-training layer 2, epoch 30, validation free energy -18873.0820156
Pre-training layer 2, epoch 31, cost -50.6495619583
Pre-training layer 2, epoch 32, cost -50.5205971432
Pre-training layer 2, epoch 33, cost -50.4089233971
Pre-training layer 2, epoch 34, cost -50.2460421944
Pre-training layer 2, epoch 35, cost -50.2137368965
Pre-training layer 2, epoch 35, representative training free energy -16873.0721626
Pre-training layer 2, epoch 35, validation free energy -16818.2089038
Pre-training layer 2, epoch 36, cost -50.1450239277
Pre-training layer 2, epoch 37, cost -50.0363272476
Pre-training layer 2, epoch 38, cost -50.0107346153
Pre-training layer 2, epoch 39, cost -49.9127012062
Pre-training layer 2, epoch 40, cost -49.7209706116
Pre-training layer 2, epoch 40, representative training free energy -15920.4561279
Pre-training layer 2, epoch 40, validation free energy -15888.2923008
Pre-training layer 2, epoch 41, cost -49.7555623245
Pre-training layer 2, epoch 42, cost -49.6621222115
Pre-training layer 2, epoch 43, cost -49.7111906338
Pre-training layer 2, epoch 44, cost -49.5981666088
Pre-training layer 2, epoch 45, cost -49.4884697151
Pre-training layer 2, epoch 45, representative training free energy -14317.6840308
Pre-training layer 2, epoch 45, validation free energy -14287.6281816
Pre-training layer 2, epoch 46, cost -49.474578886
Pre-training layer 2, epoch 47, cost -49.2642767715
Pre-training layer 2, epoch 48, cost -49.3492860794
Pre-training layer 2, epoch 49, cost -49.2697723198
Pre-training layer 2, epoch 50, cost -49.2597628689
Pre-training layer 2, epoch 50, representative training free energy -13877.0707683
Pre-training layer 2, epoch 50, validation free energy -13874.51077
Pre-training layer 2, epoch 51, cost -49.1424022007
Pre-training layer 2, epoch 52, cost -49.0914275694
Pre-training layer 2, epoch 53, cost -48.9516029835
Pre-training layer 2, epoch 54, cost -48.9746259117
Pre-training layer 2, epoch 55, cost -48.972971859
Pre-training layer 2, epoch 55, representative training free energy -12563.9459114
Pre-training layer 2, epoch 55, validation free energy -12649.4243552
Pre-training layer 2, epoch 56, cost -48.9617047882
Pre-training layer 2, epoch 57, cost -48.8382089043
Pre-training layer 2, epoch 58, cost -48.8722781086
Pre-training layer 2, epoch 59, cost -48.8069780731
Pre-training layer 2, epoch 60, cost -48.7769839668
Pre-training layer 2, epoch 60, representative training free energy -11784.2582202
Pre-training layer 2, epoch 60, validation free energy -11893.2530659
Pre-training layer 2, epoch 61, cost -48.7433970642
Pre-training layer 2, epoch 62, cost -48.6770536041
Pre-training layer 2, epoch 63, cost -48.6479916477
Pre-training layer 2, epoch 64, cost -48.5851928806
Pre-training layer 2, epoch 65, cost -48.5425586128
Pre-training layer 2, epoch 65, representative training free energy -10631.3107109
Pre-training layer 2, epoch 65, validation free energy -10702.8031169
Pre-training layer 2, epoch 66, cost -48.5101785183
Pre-training layer 2, epoch 67, cost -48.4652373505
Pre-training layer 2, epoch 68, cost -48.4326026535
Pre-training layer 2, epoch 69, cost -48.4079028511
Pre-training layer 2, epoch 70, cost -48.385530653
Pre-training layer 2, epoch 70, representative training free energy -10245.0651091
Pre-training layer 2, epoch 70, validation free energy -10368.7166323
Pre-training layer 2, epoch 71, cost -48.3482745266
Pre-training layer 2, epoch 72, cost -48.3356195259
Pre-training layer 2, epoch 73, cost -48.2841510296
Pre-training layer 2, epoch 74, cost -48.2923319054
Pre-training layer 2, epoch 75, cost -48.2422083473
Pre-training layer 2, epoch 75, representative training free energy -9256.13096777
Pre-training layer 2, epoch 75, validation free energy -9388.0714353
Pre-training layer 2, epoch 76, cost -48.1753109598
Pre-training layer 2, epoch 77, cost -48.1359426212
Pre-training layer 2, epoch 78, cost -48.169397192
Pre-training layer 2, epoch 79, cost -48.1540813303
Pre-training layer 2, epoch 80, cost -48.0929139948
Pre-training layer 2, epoch 80, representative training free energy -8551.95133496
Pre-training layer 2, epoch 80, validation free energy -8678.7063313
Pre-training layer 2, epoch 81, cost -48.10399652
Pre-training layer 2, epoch 82, cost -48.0215391397
Pre-training layer 2, epoch 83, cost -48.0601565742
Pre-training layer 2, epoch 84, cost -47.861126585
Pre-training layer 2, epoch 85, cost -47.9839818478
Pre-training layer 2, epoch 85, representative training free energy -7200.8874342
Pre-training layer 2, epoch 85, validation free energy -7372.8621488
Pre-training layer 2, epoch 86, cost -47.8917220592
Pre-training layer 2, epoch 87, cost -47.9282190275
Pre-training layer 2, epoch 88, cost -47.8370772076
Pre-training layer 2, epoch 89, cost -47.7797165108
Pre-training layer 2, epoch 90, cost -47.7872761631
Pre-training layer 2, epoch 90, representative training free energy -7306.07879321
Pre-training layer 2, epoch 90, validation free energy -7458.48559351
Pre-training layer 2, epoch 91, cost -47.8179769325
Pre-training layer 2, epoch 92, cost -47.8145226765
Pre-training layer 2, epoch 93, cost -47.7501834059
Pre-training layer 2, epoch 94, cost -47.7467237473
Pre-training layer 2, epoch 95, cost -47.7496988297
Pre-training layer 2, epoch 95, representative training free energy -6840.48679956
Pre-training layer 2, epoch 95, validation free energy -7016.26548181
Pre-training layer 2, epoch 96, cost -47.6881278086
Pre-training layer 2, epoch 97, cost -47.6170170593
Pre-training layer 2, epoch 98, cost -47.662979064
Pre-training layer 2, epoch 99, cost -47.6284056664
The pretraining code for file dbn_loop.pyc ran for 2.39m... getting the finetuning functions... finetuning the model
epoch 1, minibatch 400/400, validation error 9.500000 %
     epoch 1, minibatch 400/400, test error of best model 10.100000 %
epoch 2, minibatch 400/400, validation error 8.200000 %
     epoch 2, minibatch 400/400, test error of best model 8.900000 %
epoch 3, minibatch 400/400, validation error 7.400000 %
     epoch 3, minibatch 400/400, test error of best model 7.900000 %
epoch 4, minibatch 400/400, validation error 7.300000 %
     epoch 4, minibatch 400/400, test error of best model 7.200000 %
epoch 5, minibatch 400/400, validation error 7.100000 %
     epoch 5, minibatch 400/400, test error of best model 7.000000 %
epoch 6, minibatch 400/400, validation error 7.100000 %
epoch 7, minibatch 400/400, validation error 6.600000 %
     epoch 7, minibatch 400/400, test error of best model 6.300000 %
epoch 8, minibatch 400/400, validation error 6.700000 %
epoch 9, minibatch 400/400, validation error 6.900000 %
epoch 10, minibatch 400/400, validation error 6.700000 %
epoch 11, minibatch 400/400, validation error 6.700000 %
epoch 12, minibatch 400/400, validation error 6.600000 %
epoch 13, minibatch 400/400, validation error 6.600000 %
Optimization complete with best validation score of 6.600000 %, obtained at iteration 2800, with test performance 6.300000 %
The fine tuning code for file dbn_loop.pyc ran for 0.17m
_______RUN: 2

==========Hidden Layer: [500, 500, 2000] ===========

... building the model
... getting the pretraining functions
... pre-training the model
Pre-training layer 0, epoch 0, cost -161.593268242
Pre-training layer 0, epoch 0, representative training free energy -293.997941437
Pre-training layer 0, epoch 0, validation free energy -293.034961182
Pre-training layer 0, epoch 1, cost -121.368741074
Pre-training layer 0, epoch 2, cost -111.832241516
Pre-training layer 0, epoch 3, cost -106.192534027
Pre-training layer 0, epoch 4, cost -102.127871723
Pre-training layer 0, epoch 5, cost -99.3588419533
Pre-training layer 0, epoch 5, representative training free energy -305.734805313
Pre-training layer 0, epoch 5, validation free energy -301.925279007
Pre-training layer 0, epoch 6, cost -97.0389822388
Pre-training layer 0, epoch 7, cost -95.107408123
Pre-training layer 0, epoch 8, cost -93.5406528282
Pre-training layer 0, epoch 9, cost -92.1774853516
Pre-training layer 0, epoch 10, cost -90.9542886543
Pre-training layer 0, epoch 10, representative training free energy -310.992118515
Pre-training layer 0, epoch 10, validation free energy -306.194183502
Pre-training layer 0, epoch 11, cost -90.1461005974
Pre-training layer 0, epoch 12, cost -89.2681255531
Pre-training layer 0, epoch 13, cost -88.2539801311
Pre-training layer 0, epoch 14, cost -87.666969738
Pre-training layer 0, epoch 15, cost -87.1120765018
Pre-training layer 0, epoch 15, representative training free energy -318.786720703
Pre-training layer 0, epoch 15, validation free energy -313.239277863
Pre-training layer 0, epoch 16, cost -86.4515861893
Pre-training layer 0, epoch 17, cost -85.7163876152
Pre-training layer 0, epoch 18, cost -85.2207803154
Pre-training layer 0, epoch 19, cost -84.7158149815
Pre-training layer 0, epoch 20, cost -84.2857255077
Pre-training layer 0, epoch 20, representative training free energy -325.032428101
Pre-training layer 0, epoch 20, validation free energy -319.388707031
Pre-training layer 0, epoch 21, cost -83.7830883694
Pre-training layer 0, epoch 22, cost -83.4404286766
Pre-training layer 0, epoch 23, cost -83.21825284
Pre-training layer 0, epoch 24, cost -82.8184520149
Pre-training layer 0, epoch 25, cost -82.2926184177
Pre-training layer 0, epoch 25, representative training free energy -333.13623468
Pre-training layer 0, epoch 25, validation free energy -326.110746887
Pre-training layer 0, epoch 26, cost -82.0367543316
Pre-training layer 0, epoch 27, cost -81.755427866
Pre-training layer 0, epoch 28, cost -81.5046826172
Pre-training layer 0, epoch 29, cost -81.1426531219
Pre-training layer 0, epoch 30, cost -80.9083900356
Pre-training layer 0, epoch 30, representative training free energy -336.366869553
Pre-training layer 0, epoch 30, validation free energy -329.723016586
Pre-training layer 0, epoch 31, cost -80.5674263287
Pre-training layer 0, epoch 32, cost -80.3862753773
Pre-training layer 0, epoch 33, cost -80.1152441883
Pre-training layer 0, epoch 34, cost -79.9957862949
Pre-training layer 0, epoch 35, cost -79.6794814873
Pre-training layer 0, epoch 35, representative training free energy -342.693163269
Pre-training layer 0, epoch 35, validation free energy -335.635021576
Pre-training layer 0, epoch 36, cost -79.5638336372
Pre-training layer 0, epoch 37, cost -79.2878818035
Pre-training layer 0, epoch 38, cost -79.1957954311
Pre-training layer 0, epoch 39, cost -78.9147704983
Pre-training layer 0, epoch 40, cost -78.7295681572
Pre-training layer 0, epoch 40, representative training free energy -343.992362457
Pre-training layer 0, epoch 40, validation free energy -336.331189148
Pre-training layer 0, epoch 41, cost -78.5604506111
Pre-training layer 0, epoch 42, cost -78.3858344936
Pre-training layer 0, epoch 43, cost -78.2814368534
Pre-training layer 0, epoch 44, cost -78.0444875145
Pre-training layer 0, epoch 45, cost -77.9218916321
Pre-training layer 0, epoch 45, representative training free energy -348.566866608
Pre-training layer 0, epoch 45, validation free energy -340.790222214
Pre-training layer 0, epoch 46, cost -77.9146329117
Pre-training layer 0, epoch 47, cost -77.6957600307
Pre-training layer 0, epoch 48, cost -77.5639117813
Pre-training layer 0, epoch 49, cost -77.2017415047
Pre-training layer 0, epoch 50, cost -77.0740134811
Pre-training layer 0, epoch 50, representative training free energy -353.940302338
Pre-training layer 0, epoch 50, validation free energy -346.053786011
Pre-training layer 0, epoch 51, cost -77.1825864029
Pre-training layer 0, epoch 52, cost -76.8863732624
Pre-training layer 0, epoch 53, cost -76.7486727238
Pre-training layer 0, epoch 54, cost -76.7010549164
Pre-training layer 0, epoch 55, cost -76.6108895969
Pre-training layer 0, epoch 55, representative training free energy -352.724578857
Pre-training layer 0, epoch 55, validation free energy -344.896586746
Pre-training layer 0, epoch 56, cost -76.4857174397
Pre-training layer 0, epoch 57, cost -76.3411260891
Pre-training layer 0, epoch 58, cost -76.2414467335
Pre-training layer 0, epoch 59, cost -76.1152011967
Pre-training layer 0, epoch 60, cost -76.0464924431
Pre-training layer 0, epoch 60, representative training free energy -359.135116211
Pre-training layer 0, epoch 60, validation free energy -351.063478226
Pre-training layer 0, epoch 61, cost -76.013087492
Pre-training layer 0, epoch 62, cost -75.792419157
Pre-training layer 0, epoch 63, cost -75.7455287838
Pre-training layer 0, epoch 64, cost -75.7439177608
Pre-training layer 0, epoch 65, cost -75.6512797356
Pre-training layer 0, epoch 65, representative training free energy -361.48679599
Pre-training layer 0, epoch 65, validation free energy -353.521661072
Pre-training layer 0, epoch 66, cost -75.5240875149
Pre-training layer 0, epoch 67, cost -75.475730505
Pre-training layer 0, epoch 68, cost -75.2798989868
Pre-training layer 0, epoch 69, cost -75.153538456
Pre-training layer 0, epoch 70, cost -75.1909812641
Pre-training layer 0, epoch 70, representative training free energy -362.924933929
Pre-training layer 0, epoch 70, validation free energy -354.394739044
Pre-training layer 0, epoch 71, cost -75.0352085686
Pre-training layer 0, epoch 72, cost -75.1283499908
Pre-training layer 0, epoch 73, cost -74.9226769733
Pre-training layer 0, epoch 74, cost -74.8675106239
Pre-training layer 0, epoch 75, cost -74.8343651772
Pre-training layer 0, epoch 75, representative training free energy -363.026820282
Pre-training layer 0, epoch 75, validation free energy -354.48849176
Pre-training layer 0, epoch 76, cost -74.7213590527
Pre-training layer 0, epoch 77, cost -74.614212141
Pre-training layer 0, epoch 78, cost -74.5099680901
Pre-training layer 0, epoch 79, cost -74.3863561916
Pre-training layer 0, epoch 80, cost -74.3806783485
Pre-training layer 0, epoch 80, representative training free energy -370.568726349
Pre-training layer 0, epoch 80, validation free energy -362.047420715
Pre-training layer 0, epoch 81, cost -74.3407489681
Pre-training layer 0, epoch 82, cost -74.2847567368
Pre-training layer 0, epoch 83, cost -74.187350893
Pre-training layer 0, epoch 84, cost -74.1948249722
Pre-training layer 0, epoch 85, cost -74.1733546257
Pre-training layer 0, epoch 85, representative training free energy -369.796256653
Pre-training layer 0, epoch 85, validation free energy -360.640824219
Pre-training layer 0, epoch 86, cost -74.0254495144
Pre-training layer 0, epoch 87, cost -74.0001580811
Pre-training layer 0, epoch 88, cost -73.8428283024
Pre-training layer 0, epoch 89, cost -73.7857338142
Pre-training layer 0, epoch 90, cost -73.7710275745
Pre-training layer 0, epoch 90, representative training free energy -372.148397919
Pre-training layer 0, epoch 90, validation free energy -363.296733856
Pre-training layer 0, epoch 91, cost -73.5854410744
Pre-training layer 0, epoch 92, cost -73.5913814354
Pre-training layer 0, epoch 93, cost -73.5746417236
Pre-training layer 0, epoch 94, cost -73.566109581
Pre-training layer 0, epoch 95, cost -73.4832851601
Pre-training layer 0, epoch 95, representative training free energy -369.409600494
Pre-training layer 0, epoch 95, validation free energy -359.831470978
Pre-training layer 0, epoch 96, cost -73.4818506432
Pre-training layer 0, epoch 97, cost -73.4035883904
Pre-training layer 0, epoch 98, cost -73.3530168819
Pre-training layer 0, epoch 99, cost -73.3716765308
Pre-training layer 1, epoch 0, cost -203.97158596
Pre-training layer 1, epoch 0, representative training free energy -21719.6926611
Pre-training layer 1, epoch 0, validation free energy -21543.9330103
Pre-training layer 1, epoch 1, cost -173.162236824
Pre-training layer 1, epoch 2, cost -163.167492905
Pre-training layer 1, epoch 3, cost -157.256388226
Pre-training layer 1, epoch 4, cost -152.969329548
Pre-training layer 1, epoch 5, cost -149.712759171
Pre-training layer 1, epoch 5, representative training free energy -29461.1009453
Pre-training layer 1, epoch 5, validation free energy -29165.795833
Pre-training layer 1, epoch 6, cost -147.296870041
Pre-training layer 1, epoch 7, cost -145.31228899
Pre-training layer 1, epoch 8, cost -143.562395267
Pre-training layer 1, epoch 9, cost -142.038886051
Pre-training layer 1, epoch 10, cost -140.726515388
Pre-training layer 1, epoch 10, representative training free energy -32211.5246357
Pre-training layer 1, epoch 10, validation free energy -31874.4820371
Pre-training layer 1, epoch 11, cost -139.717923698
Pre-training layer 1, epoch 12, cost -138.661192894
Pre-training layer 1, epoch 13, cost -137.893575268
Pre-training layer 1, epoch 14, cost -137.162114697
Pre-training layer 1, epoch 15, cost -136.324289722
Pre-training layer 1, epoch 15, representative training free energy -34156.1797568
Pre-training layer 1, epoch 15, validation free energy -33801.4526855
Pre-training layer 1, epoch 16, cost -135.767639771
Pre-training layer 1, epoch 17, cost -135.118749409
Pre-training layer 1, epoch 18, cost -134.554277992
